batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,3,56,130020,12,13,0.3157894736842105,True,True
0,3,57,129551,1,1,1.0,False,False
0,3,58,78414,9,10,0.5833333333333334,True,True
0,3,59,41758,7,7,1.0,False,False
0,3,60,101974,0,0,1.0,False,False
0,3,61,37111,11,11,1.0,False,False
0,3,62,79510,54,52,0.43243243243243246,True,True
0,3,63,20237,0,0,1.0,False,False
0,3,64,51355,0,0,1.0,False,False
0,3,65,140923,9,9,0.8,True,True
0,3,66,32505,2,2,1.0,False,False
0,3,67,14421,1,1,1.0,False,False
0,3,68,29356,77,67,0.2857142857142857,True,True
0,3,69,24025,0,0,1.0,False,False
0,3,70,131248,2,2,1.0,False,False
0,3,71,67883,9,9,0.5,True,True
0,3,72,79266,10,9,0.5833333333333334,True,True
0,3,73,108389,11,11,0.15789473684210525,True,True
0,3,74,95415,9,9,0.6363636363636364,True,True
0,3,75,90553,19,20,0.05405405405405406,True,True
0,3,76,34826,9,10,0.1875,True,True
0,3,77,67754,29,29,0.1836734693877551,True,True
0,3,78,120141,2,2,1.0,False,False
0,3,79,136222,32,33,0.3541666666666667,True,True
0,4,0,58421,7,7,1.0,False,False
0,4,1,78712,10,10,0.42857142857142855,True,True
0,4,2,64815,5,5,1.0,False,False
0,4,3,8321,9,10,0.05555555555555555,True,True
0,4,4,142855,20,20,0.14285714285714285,True,True
0,4,5,112134,15,15,1.0,False,False
0,4,6,108005,3,3,1.0,False,False
0,4,7,83520,5,5,1.0,False,False
0,4,8,92640,4,4,1.0,False,False
0,4,9,125058,3,3,1.0,False,False
0,4,10,126684,10,10,0.05263157894736842,True,True
0,4,11,46606,4,4,1.0,False,False
0,4,12,44299,20,20,0.14285714285714285,True,True
0,4,13,52537,2,2,1.0,False,False
0,4,14,45776,10,10,0.05263157894736842,True,True
0,4,15,109034,16,16,0.391304347826087,True,True
0,4,16,43990,9,10,0.5833333333333334,True,True
0,4,17,148018,3,3,1.0,False,False
0,4,18,42174,66,65,0.42391304347826086,True,True
0,4,19,56758,19,20,0.11428571428571428,True,True
0,4,20,21464,1,1,1.0,False,False
0,4,21,146420,1,1,1.0,False,False
0,4,22,1096,6,6,1.0,False,False
0,4,23,75993,4,4,1.0,False,False
0,4,24,87757,1,1,1.0,False,False
0,4,25,59980,10,10,0.05263157894736842,True,True
0,4,26,124982,2,2,1.0,False,False
0,4,27,141402,2,2,1.0,False,False
0,4,28,111056,1,1,1.0,False,False
0,4,29,1841,3,3,1.0,False,False
0,4,30,137821,0,0,1.0,False,False
0,4,31,46731,2,2,1.0,False,False
0,4,32,71725,12,13,0.47058823529411764,True,True
0,4,33,103468,19,19,0.22580645161290322,True,True
0,4,34,105546,2,2,1.0,False,False
0,4,35,99944,11,11,0.15789473684210525,True,True
0,4,36,113460,10,10,0.1111111111111111,True,True
0,4,37,98104,1,1,1.0,False,False
0,4,38,91888,0,0,1.0,False,False
0,4,39,36237,0,0,1.0,False,False
0,4,40,83916,1,1,1.0,False,False
0,4,41,147819,11,11,1.0,False,False
0,4,42,11000,2,2,1.0,False,False
0,4,43,148867,1,1,1.0,False,False
0,4,44,83504,1,1,1.0,False,False
0,4,45,133794,34,32,0.4666666666666667,True,True
0,4,46,123557,0,0,1.0,False,False
0,4,47,62311,87,77,0.17985611510791366,True,True
0,4,48,19011,0,0,1.0,False,False
0,4,49,81867,7,7,1.0,False,False
0,4,50,42999,19,20,0.11428571428571428,True,True
0,4,51,132577,2,2,1.0,False,False
0,4,52,9946,5,5,1.0,False,False
0,4,53,131371,9,9,1.0,False,False
0,4,54,133641,15,15,0.36363636363636365,True,True
0,4,55,44968,14,13,0.2857142857142857,True,True
0,4,56,130020,12,13,0.3157894736842105,True,True
0,4,57,129551,1,1,1.0,False,False
0,4,58,78414,9,9,0.6363636363636364,True,True
0,4,59,41758,7,7,1.0,False,False
0,4,60,101974,0,0,1.0,False,False
0,4,61,37111,11,11,1.0,False,False
0,4,62,79510,54,55,0.345679012345679,True,True
0,4,63,20237,0,0,1.0,False,False
0,4,64,51355,0,0,1.0,False,False
0,4,65,140923,9,9,0.8,True,True
0,4,66,32505,2,2,1.0,False,False
0,4,67,14421,1,1,1.0,False,False
0,4,68,29356,77,81,0.15328467153284672,True,True
0,4,69,24025,0,0,1.0,False,False
0,4,70,131248,2,2,1.0,False,False
0,4,71,67883,9,9,0.5,True,True
0,4,72,79266,10,10,0.3333333333333333,True,True
0,4,73,108389,11,11,0.15789473684210525,True,True
0,4,74,95415,9,9,0.6363636363636364,True,True
0,4,75,90553,19,20,0.05405405405405406,True,True
0,4,76,34826,9,9,0.2857142857142857,True,True
0,4,77,67754,29,29,0.16,True,True
0,4,78,120141,2,2,1.0,False,False
0,4,79,136222,32,30,0.37777777777777777,True,True
0,5,0,58421,7,7,1.0,False,False
0,5,1,78712,10,9,0.35714285714285715,True,True
0,5,2,64815,5,5,1.0,False,False
0,5,3,8321,9,10,0.05555555555555555,True,True
0,5,4,142855,20,20,0.17647058823529413,True,True
0,5,5,112134,15,15,1.0,False,False
0,5,6,108005,3,3,1.0,False,False
0,5,7,83520,5,5,1.0,False,False
0,5,8,92640,4,4,1.0,False,False
0,5,9,125058,3,3,1.0,False,False
0,5,10,126684,10,10,0.1111111111111111,True,True
0,5,11,46606,4,4,1.0,False,False
0,5,12,44299,20,20,0.17647058823529413,True,True
0,5,13,52537,2,2,1.0,False,False
0,5,14,45776,10,9,0.11764705882352941,True,True
0,5,15,109034,16,15,0.4090909090909091,True,True
0,5,16,43990,9,10,0.46153846153846156,True,True
0,5,17,148018,3,3,1.0,False,False
0,5,18,42174,66,64,0.31313131313131315,True,True
0,5,19,56758,19,19,0.15151515151515152,True,True
0,5,20,21464,1,1,1.0,False,False
0,5,21,146420,1,1,1.0,False,False
0,5,22,1096,6,6,1.0,False,False
0,5,23,75993,4,4,1.0,False,False
0,5,24,87757,1,1,1.0,False,False
0,5,25,59980,10,9,0.11764705882352941,True,True
