model_id,target,head_kind,label_seed,label_budget_per_class,head_updates,split,classes,labeled_examples,selected_nodes_fingerprint,split_fingerprint,head_initialization_fingerprint,optimizer,learning_rate,weight_decay,training_loss,training_roc_auc,training_accuracy,training_macro_f1,roc_auc,accuracy,macro_f1
graphsage_pilot_v1,covid_political,linear,0,100,0,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6766228675842285,0.653,0.575,0.5599389091662137,0.6549512678386218,0.516842506673446,0.5073680619751678
graphsage_pilot_v1,covid_political,linear,0,100,0,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6766228675842285,0.653,0.575,0.5599389091662137,0.6518076386829819,0.5174145163340537,0.5071283288304456
graphsage_pilot_v1,covid_political,linear,0,100,1,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.634762167930603,0.702,0.59,0.5649405772495755,0.6307099763632246,0.4678403457480615,0.4655365692342045
graphsage_pilot_v1,covid_political,linear,0,100,1,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.634762167930603,0.702,0.59,0.5649405772495755,0.633082645861868,0.4686030252955383,0.4660921165392013
graphsage_pilot_v1,covid_political,linear,0,100,3,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.628987729549408,0.6996,0.665,0.6612654516039334,0.6257124929148931,0.6636583195627304,0.5805381426976777
graphsage_pilot_v1,covid_political,linear,0,100,3,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.628987729549408,0.6996,0.665,0.6612654516039334,0.6280339289226647,0.66931485953985,0.5856833204871581
graphsage_pilot_v1,covid_political,linear,0,100,10,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6248395442962646,0.6926,0.66,0.6541552232733191,0.6333767926421228,0.7067497139951697,0.6095614832644581
graphsage_pilot_v1,covid_political,linear,0,100,10,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6248395442962646,0.6926,0.66,0.6541552232733191,0.6362064970633706,0.7133596034066353,0.6148253365029539
graphsage_pilot_v1,covid_political,linear,0,100,30,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6151037216186523,0.7057,0.66,0.6550324675324675,0.637781720321027,0.6695690860556756,0.5844499963843048
graphsage_pilot_v1,covid_political,linear,0,100,30,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6151037216186523,0.7057,0.66,0.6550324675324675,0.640180571960167,0.6761789754671412,0.5897737909422577
graphsage_pilot_v1,covid_political,linear,0,100,100,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6116880774497986,0.7073,0.66,0.6550324675324675,0.6390435298744421,0.6723020211008008,0.5859307995665173
graphsage_pilot_v1,covid_political,linear,0,100,100,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6116880774497986,0.7073,0.66,0.6550324675324675,0.641743041210015,0.6792932502860048,0.5918102478070931
graphsage_pilot_v1,covid_political,linear,0,100,300,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6098280549049377,0.7083999999999999,0.665,0.6596825396825396,0.6390049742805051,0.67408160671158,0.5868418038426705
graphsage_pilot_v1,covid_political,linear,0,100,300,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6098280549049377,0.7083999999999999,0.665,0.6596825396825396,0.6425023885223065,0.6813906190415661,0.5928576508985287
graphsage_pilot_v1,covid_political,linear,0,100,1000,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6072368621826172,0.7095,0.665,0.6596825396825396,0.6415992242779769,0.6735095970509725,0.5864532590903738
graphsage_pilot_v1,covid_political,linear,0,100,1000,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6072368621826172,0.7095,0.665,0.6596825396825396,0.6447527043552491,0.6806914961230456,0.592488395853771
graphsage_pilot_v1,covid_political,linear,0,100,3000,val,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.604123592376709,0.7101999999999999,0.665,0.6596825396825396,0.6417076931457483,0.6724926909876701,0.5863234006062339
graphsage_pilot_v1,covid_political,linear,0,100,3000,test,2,200,e518b8d4501a6dd8d4517d1671d020cdbe000f6892f46ab76d9587c53f8b19b7,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.604123592376709,0.7101999999999999,0.665,0.6596825396825396,0.6438672630714718,0.6789754671412228,0.591436378045692
graphsage_pilot_v1,covid_political,linear,0,1000,0,val,2,2000,db08705ba31820237b567b7b31c1681371e7d963f88d76e367ae685d099bcf43,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6721913814544678,0.6497149999999999,0.592,0.580150158061117,0.6549512678386218,0.516842506673446,0.5073680619751678
graphsage_pilot_v1,covid_political,linear,0,1000,0,test,2,2000,db08705ba31820237b567b7b31c1681371e7d963f88d76e367ae685d099bcf43,f1b58c8ccaee181a233f11c34ff62fda2f7ec53206eb08b2970705719fba8082,f89e55d9cfacf91222600ee60a2ba36a7e5c6eb5bd4c3c753e6136ad5559fc67,AdamW,0.01,0.0,0.6721913814544678,0.6497149999999999,0.592,0.580150158061117,0.6518076386829819,0.5174145163340537,0.5071283288304456
