case,state,group,left,right,cosine,conflict_fraction,norm_left,norm_right,norm_ratio
0,rank0_best,second_layer,train_A,val_B,-0.8179032489872111,1.0,0.06681143963742349,0.0674631899905903,1.1507828962401079
0,rank0_best,second_layer,train_B,val_A,0.7263574842623055,0.0,0.061270886358492635,0.0449493324722529,0.7897052304020438
0,rank0_best,second_layer,train_B,val_B,-0.6116703506515485,1.0,0.061270886358492635,0.0674631899905903,1.1852463888771456
0,rank0_final,all,train_A,train_B,-0.1871356541136777,1.0,0.1993698122943994,0.1868197401880477,0.9940253322407795
0,rank0_final,all,train_A,val_A,0.7858521538383348,0.0,0.1993698122943994,0.2184218123823282,1.170245202172289
0,rank0_final,all,train_A,val_B,0.48627789533548654,0.0,0.1993698122943994,0.4600451240944824,2.464797784536105
0,rank0_final,all,train_B,val_A,-0.35618624487844963,1.0,0.1868197401880477,0.2184218123823282,1.257243765417254
0,rank0_final,all,train_B,val_B,-0.6603456616051123,1.0,0.1868197401880477,0.4600451240944824,2.6480361909367183
0,rank0_final,decoder_bias,train_A,train_B,-0.5,0.75,0.002474755940056612,0.006457543495343937,8.13383569948708
0,rank0_final,decoder_bias,train_A,val_A,0.5,0.25,0.002474755940056612,0.0039850464090704,11.115095169284075
0,rank0_final,decoder_bias,train_A,val_B,0.5,0.25,0.002474755940056612,0.0164368208497762,45.84559607885552
0,rank0_final,decoder_bias,train_B,val_A,-1.0,1.0,0.006457543495343937,0.0039850464090704,0.8127311124026319
0,rank0_final,decoder_bias,train_B,val_B,-1.0,1.0,0.006457543495343937,0.0164368208497762,3.3522108207310937
0,rank0_final,first_layer,train_A,train_B,-0.1836102734404404,1.0,0.19158043678765305,0.17679069568619243,0.9767394743378982
0,rank0_final,first_layer,train_A,val_A,0.7803568312141613,0.0,0.19158043678765305,0.2082449407827352,1.1579729288701275
0,rank0_final,first_layer,train_A,val_B,0.4898730667718344,0.0,0.19158043678765305,0.4380600110924422,2.4358893529847085
0,rank0_final,first_layer,train_B,val_A,-0.352497061984206,1.0,0.17679069568619243,0.2082449407827352,1.2615178849003799
0,rank0_final,first_layer,train_B,val_B,-0.6524508499304024,1.0,0.17679069568619243,0.4380600110924422,2.6537045105423767
0,rank0_final,second_layer,train_A,train_B,-0.21900219662760181,0.875,0.05493326812040637,0.059822494627941904,1.19355148396123
0,rank0_final,second_layer,train_A,val_A,0.8553439924739471,0.0,0.05493326812040637,0.0657742515570771,1.3313477338509447
0,rank0_final,second_layer,train_A,val_B,0.4472115844076896,0.0,0.05493326812040637,0.1395520469400198,2.824696549935358
0,rank0_final,second_layer,train_B,val_A,-0.38539728697550535,1.0,0.059822494627941904,0.0657742515570771,1.247807400220466
0,rank0_final,second_layer,train_B,val_B,-0.7321174577984116,1.0,0.059822494627941904,0.1395520469400198,2.6474505260856027
0,rank1_best,all,train_A,train_B,0.6056503704073143,0.0,0.23376061847634683,0.17593253991229169,0.8102460302908535
0,rank1_best,all,train_A,val_A,0.882498624941837,0.0,0.23376061847634683,0.1593440644959263,0.7394394058930955
0,rank1_best,all,train_A,val_B,-0.8013424337994062,1.0,0.23376061847634683,0.1567842203159194,0.7275603963697029
0,rank1_best,all,train_A_with_rank,val_A,0.8270050455200604,0.0,0.23795571625040435,0.1593440644959263,0.7128331855520286
0,rank1_best,all,train_A_with_rank,val_B,-0.7483847356020683,1.0,0.23795571625040435,0.1567842203159194,0.7013816019168077
0,rank1_best,all,train_B,val_A,0.6781355033011337,0.0,0.17593253991229169,0.1593440644959263,0.945556563924677
0,rank1_best,all,train_B,val_B,-0.6320473881253383,1.0,0.17593253991229169,0.1567842203159194,0.9303663058206999
0,rank1_best,decoder_bias,train_A,train_B,1.0,0.0,0.00936832983279595,0.005588888132478987,0.6280599515413103
0,rank1_best,decoder_bias,train_A,val_A,1.0,0.0,0.00936832983279595,0.0074564791284501,0.8515407396221182
0,rank1_best,decoder_bias,train_A,val_B,-1.0,1.0,0.00936832983279595,0.0066753793507814,0.7623380112383089
0,rank1_best,decoder_bias,train_A_with_rank,val_A,1.0,0.0,0.009368329949211275,0.0074564791284501,0.8515407274280956
0,rank1_best,decoder_bias,train_A_with_rank,val_B,-1.0,1.0,0.009368329949211275,0.0066753793507814,0.7623380003216652
0,rank1_best,decoder_bias,train_B,val_A,1.0,0.0,0.005588888132478987,0.0074564791284501,1.8136369082229433
0,rank1_best,decoder_bias,train_B,val_B,-1.0,1.0,0.005588888132478987,0.0066753793507814,1.623650272254293
0,rank1_best,first_layer,train_A,train_B,0.595547541179841,0.0,0.2177889006107997,0.16429564204954641,0.8113757393974013
0,rank1_best,first_layer,train_A,val_A,0.8701032025596358,0.0,0.2177889006107997,0.1463607541804829,0.7281605350048802
0,rank1_best,first_layer,train_A,val_B,-0.794499073613606,1.0,0.2177889006107997,0.1463477249610339,0.7280957132331027
0,rank1_best,first_layer,train_A_with_rank,val_A,0.8106420150589989,0.0,0.2219738642658528,0.1463607541804829,0.6998872053236697
0,rank1_best,first_layer,train_A_with_rank,val_B,-0.7361365990377478,1.0,0.2219738642658528,0.1463477249610339,0.6998249004794594
0,rank1_best,first_layer,train_B,val_A,0.6719141822952617,0.0,0.16429564204954641,0.1463607541804829,0.9271093834489723
