model,pair_model_id,target,baseline_source,added_source,singleton_value,pair_value,impact,metric
PRODIGY / NM,nmpair_covid__covid_political,twibot20,covid19_twitter,covid_political,0.904076775463148,0.9048452107385658,0.0007684352754178,macro ROC-AUC
PRODIGY / NM,nmpair_covid__covid_political,ukr_rus_suspended,covid19_twitter,covid_political,0.8194536350239282,0.8163534386404632,-0.003100196383465,macro ROC-AUC
PRODIGY / NM,nmpair_covid__covid_political,midterm,covid19_twitter,covid_political,0.846854570679281,0.8474123613587743,0.0005577906794932,macro ROC-AUC
PRODIGY / NM,nmpair_covid__covid_political,election2020,covid19_twitter,covid_political,0.8370253521820594,0.822784169377952,-0.0142411828041074,macro ROC-AUC
PRODIGY / NM,nmpair_covid__covid_political,cp_hk_twitter,covid19_twitter,covid_political,0.7119141652666288,0.7137143340604057,0.0018001687937769,macro ROC-AUC
PRODIGY / NM,nmpair_covid__election2020,ukr_rus_twitter,covid19_twitter,election2020,0.8920421153649517,0.8854507265419795,-0.0065913888229721,macro ROC-AUC
PRODIGY / NM,nmpair_covid__election2020,facebook_page_reference,covid19_twitter,election2020,0.8340093752433513,0.8427225369146498,0.0087131616712985,macro ROC-AUC
PRODIGY / NM,nmpair_covid__election2020,twibot20,covid19_twitter,election2020,0.904076775463148,0.9014763307297368,-0.0026004447334112,macro ROC-AUC
PRODIGY / NM,nmpair_covid__election2020,covid_political,covid19_twitter,election2020,0.8347613955366201,0.8202459650478142,-0.0145154304888058,macro ROC-AUC
PRODIGY / NM,nmpair_covid__election2020,ukr_rus_suspended,covid19_twitter,election2020,0.8194536350239282,0.8128968407367839,-0.0065567942871442,macro ROC-AUC
PRODIGY / NM,nmpair_covid__election2020,midterm,covid19_twitter,election2020,0.846854570679281,0.8433228191288038,-0.0035317515504772,macro ROC-AUC
PRODIGY / NM,nmpair_covid__election2020,cp_hk_twitter,covid19_twitter,election2020,0.7119141652666288,0.7116263749955716,-0.0002877902710571,macro ROC-AUC
PRODIGY / NM,nmpair_covid__cp_hk,ukr_rus_twitter,covid19_twitter,cp_hk_twitter,0.8920421153649517,0.8858783928827307,-0.0061637224822209,macro ROC-AUC
PRODIGY / NM,nmpair_covid__cp_hk,facebook_page_reference,covid19_twitter,cp_hk_twitter,0.8340093752433513,0.8308621121549058,-0.0031472630884454,macro ROC-AUC
PRODIGY / NM,nmpair_covid__cp_hk,twibot20,covid19_twitter,cp_hk_twitter,0.904076775463148,0.8976357451800643,-0.0064410302830837,macro ROC-AUC
PRODIGY / NM,nmpair_covid__cp_hk,covid_political,covid19_twitter,cp_hk_twitter,0.8347613955366201,0.8293073049907027,-0.0054540905459173,macro ROC-AUC
PRODIGY / NM,nmpair_covid__cp_hk,ukr_rus_suspended,covid19_twitter,cp_hk_twitter,0.8194536350239282,0.8129364238388237,-0.0065172111851045,macro ROC-AUC
PRODIGY / NM,nmpair_covid__cp_hk,midterm,covid19_twitter,cp_hk_twitter,0.846854570679281,0.8429580887158713,-0.0038964819634097,macro ROC-AUC
PRODIGY / NM,nmpair_covid__cp_hk,election2020,covid19_twitter,cp_hk_twitter,0.8370253521820594,0.8342487185850912,-0.0027766335969682,macro ROC-AUC
PRODIGY / NM,nmpair_covid__facebook_page_reference,ukr_rus_twitter,covid19_twitter,facebook_page_reference,0.8920421153649517,0.8852139903211047,-0.006828125043847,macro ROC-AUC
PRODIGY / NM,nmpair_covid__facebook_page_reference,twibot20,covid19_twitter,facebook_page_reference,0.904076775463148,0.8980473299136105,-0.0060294455495375,macro ROC-AUC
PRODIGY / NM,nmpair_covid__facebook_page_reference,covid_political,covid19_twitter,facebook_page_reference,0.8347613955366201,0.8265232616457446,-0.0082381338908754,macro ROC-AUC
PRODIGY / NM,nmpair_covid__facebook_page_reference,ukr_rus_suspended,covid19_twitter,facebook_page_reference,0.8194536350239282,0.7973547954668944,-0.0220988395570338,macro ROC-AUC
PRODIGY / NM,nmpair_covid__facebook_page_reference,midterm,covid19_twitter,facebook_page_reference,0.846854570679281,0.8246986241176211,-0.0221559465616599,macro ROC-AUC
PRODIGY / NM,nmpair_covid__facebook_page_reference,election2020,covid19_twitter,facebook_page_reference,0.8370253521820594,0.8358520370790328,-0.0011733151030266,macro ROC-AUC
PRODIGY / NM,nmpair_covid__facebook_page_reference,cp_hk_twitter,covid19_twitter,facebook_page_reference,0.7119141652666288,0.6972286417566498,-0.0146855235099789,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,facebook_page_reference,twibot20,ukr_rus_twitter,0.8080495528791142,0.8567570308159138,0.0487074779367996,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,covid19_twitter,twibot20,ukr_rus_twitter,0.940913052120428,0.9593227941414406,0.0184097420210126,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,covid_political,twibot20,ukr_rus_twitter,0.829245352608034,0.830735437212319,0.001490084604285,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,ukr_rus_suspended,twibot20,ukr_rus_twitter,0.798255482624317,0.83208281555395,0.033827332929633,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,midterm,twibot20,ukr_rus_twitter,0.8490113705054098,0.8537779854631972,0.0047666149577874,macro ROC-AUC
PRODIGY / NM,nmpair_ukr_rus__twibot20,election2020,twibot20,ukr_rus_twitter,0.8410705615734232,0.84001399169023,-0.0010565698831931,macro ROC-AUC
