arm,step,task,dataset,target,metric,value,shots,model
ukr,500,regression,midterm,account_age_days,spearman,0.1469345337750346,10,sat_ukr_s000500
ukr,500,regression,midterm,followers_count,spearman,0.044581317689756,10,sat_ukr_s000500
ukr,500,regression,twibot20,account_age_days,spearman,-0.0462355595935127,10,sat_ukr_s000500
ukr,500,regression,twibot20,followers_count,spearman,-0.1869495235396617,10,sat_ukr_s000500
ukr,500,regression,ukr_rus_twitter,account_age_days,spearman,0.0281771385964721,10,sat_ukr_s000500
ukr,500,regression,ukr_rus_twitter,followers_count,spearman,-0.0271761618162821,10,sat_ukr_s000500
ukr,1000,regression,covid19_twitter,account_age_days,spearman,0.2062327599881464,10,sat_ukr_s001000
ukr,1000,regression,covid19_twitter,followers_count,spearman,0.0919952891610585,10,sat_ukr_s001000
ukr,1000,regression,midterm,account_age_days,spearman,0.2520952371571507,10,sat_ukr_s001000
ukr,1000,regression,midterm,followers_count,spearman,0.200249580892618,10,sat_ukr_s001000
ukr,1000,regression,twibot20,account_age_days,spearman,0.1255652716729391,10,sat_ukr_s001000
ukr,1000,regression,twibot20,followers_count,spearman,0.0356916410105905,10,sat_ukr_s001000
ukr,1000,regression,ukr_rus_twitter,account_age_days,spearman,0.2358027827054614,10,sat_ukr_s001000
ukr,1000,regression,ukr_rus_twitter,followers_count,spearman,0.1245076999954594,10,sat_ukr_s001000
ukr,2000,regression,covid19_twitter,account_age_days,spearman,0.1797226823833616,10,sat_ukr_s002000
ukr,2000,regression,covid19_twitter,followers_count,spearman,0.1059342047215499,10,sat_ukr_s002000
ukr,2000,regression,midterm,account_age_days,spearman,0.1936134731768076,10,sat_ukr_s002000
ukr,2000,regression,midterm,followers_count,spearman,0.1723084094271799,10,sat_ukr_s002000
ukr,2000,regression,twibot20,account_age_days,spearman,0.1565934012540062,10,sat_ukr_s002000
ukr,2000,regression,twibot20,followers_count,spearman,0.2208034556498301,10,sat_ukr_s002000
ukr,2000,regression,ukr_rus_twitter,account_age_days,spearman,0.1710690364430776,10,sat_ukr_s002000
ukr,2000,regression,ukr_rus_twitter,followers_count,spearman,0.0836014880435781,10,sat_ukr_s002000
ukr,10000,regression,covid19_twitter,account_age_days,spearman,0.1520778908608432,10,sat_ukr_s010000
ukr,10000,regression,covid19_twitter,followers_count,spearman,0.0930874603484127,10,sat_ukr_s010000
ukr,10000,regression,midterm,account_age_days,spearman,0.1745015457663757,10,sat_ukr_s010000
ukr,10000,regression,midterm,followers_count,spearman,0.1604112029700667,10,sat_ukr_s010000
ukr,10000,regression,twibot20,account_age_days,spearman,0.1433529548073665,10,sat_ukr_s010000
ukr,10000,regression,twibot20,followers_count,spearman,0.1152995901560243,10,sat_ukr_s010000
ukr,10000,regression,ukr_rus_twitter,account_age_days,spearman,0.1651760150808434,10,sat_ukr_s010000
ukr,10000,regression,ukr_rus_twitter,followers_count,spearman,0.1127734367054097,10,sat_ukr_s010000
ukr,40000,regression,covid19_twitter,account_age_days,spearman,0.0199526619186771,10,sat_ukr_s040000
ukr,40000,regression,covid19_twitter,followers_count,spearman,0.0289443807223792,10,sat_ukr_s040000
ukr,40000,regression,midterm,account_age_days,spearman,-0.0102233681596291,10,sat_ukr_s040000
ukr,40000,regression,midterm,followers_count,spearman,0.0435700692502511,10,sat_ukr_s040000
ukr,40000,regression,twibot20,account_age_days,spearman,-0.0033097826736044,10,sat_ukr_s040000
ukr,40000,regression,twibot20,followers_count,spearman,-0.0996641553580441,10,sat_ukr_s040000
ukr,40000,regression,ukr_rus_twitter,account_age_days,spearman,0.0339163478413729,10,sat_ukr_s040000
ukr,40000,regression,ukr_rus_twitter,followers_count,spearman,0.0439206296031345,10,sat_ukr_s040000
