architecture,model_id,sources,seed,checkpoint_step,task,dataset,n_way,n_shot,n_query,episodes,queries,episode_fingerprint,roc_auc,accuracy,f1
prodigy,ordB_r4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.488525390625,0.4921875,0.4715447154471545
prodigy,ordB_r4,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6710925632052951,0.6442057291666666,0.714695901853302
prodigy,ordB_r5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5675882410120081,0.6598307291666666,0.2924847664184157
prodigy,ordB_r5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.51995849609375,0.5234375,0.512
prodigy,ordB_r5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.49432373046875,0.49609375,0.47346938775510206
prodigy,ordB_r5,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6743715074327257,0.6246744791666666,0.7108101329320291
prodigy,ordB_r6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5167646054868344,0.6419270833333334,0.24863387978142076
prodigy,ordB_r6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.507568359375,0.5,0.5362318840579711
prodigy,ordB_r6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4913330078125,0.484375,0.5111111111111111
prodigy,ordB_r6,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.62497435675727,0.5843098958333334,0.6844576229305659
prodigy,ordB_r7,"ukr_rus_suspended,election2020,ukr_rus,facebook_page_reference,cp_hk,covid_political,covid",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.538807056568287,0.6748046875,0.20902612826603326
