model,dataset,shots,target,task,split,run,spearman,rmse,mae,r2,mse
B1_40k,midterm,10,friends_count,regression,test,eval_B1_40k_to_midterm_reg_10shot_friends_count_10_07_2026_21_47_23,-0.2498532518118525,6.920811280780577,6.721169471740723,-17.961782455444336,47.89762878417969
B1_40k,midterm,10,statuses_count,regression,test,eval_B1_40k_to_midterm_reg_10shot_statuses_count_10_07_2026_21_48_00,-0.11681923032598723,9.675911746571556,9.47469425201416,-24.246217727661133,93.6232681274414
B1_40k,midterm,10,favourites_count,regression,test,eval_B1_40k_to_midterm_reg_10shot_favourites_count_10_07_2026_21_48_01,-0.152947159865854,10.051580154922899,9.81506633758545,-21.328960418701172,101.03426361083984
B1_40k,midterm,10,listed_count,regression,test,eval_B1_40k_to_midterm_reg_10shot_listed_count_10_07_2026_21_48_09,-0.14622881872930654,2.006160070952875,1.3599145412445068,-0.9216228723526001,4.0246782302856445
B1_40k,midterm,10,account_age_days,regression,test,eval_B1_40k_to_midterm_reg_10shot_account_age_days_10_07_2026_21_48_09,-0.25283256138215127,7.542360586484362,7.418725490570068,-32.711814880371094,56.887203216552734
B0_40k,ukr_rus_twitter,10,followers_count,regression,test,eval_B0_40k_to_ukr_rus_twitter_reg_10shot_followers_count_10_07_2026_21_48_50,0.005661326540999133,5.380030030517717,4.88392448425293,-4.691404819488525,28.94472312927246
B0_40k,ukr_rus_twitter,10,friends_count,regression,test,eval_B0_40k_to_ukr_rus_twitter_reg_10shot_friends_count_10_07_2026_21_48_50,-0.006955089804025358,6.035267810963224,5.814963340759277,-13.100079536437988,36.42445755004883
B0_40k,ukr_rus_twitter,10,statuses_count,regression,test,eval_B0_40k_to_ukr_rus_twitter_reg_10shot_statuses_count_10_07_2026_21_48_56,0.03449154721874164,8.120659240871252,7.72254753112793,-9.448617935180664,65.94510650634766
B0_40k,ukr_rus_twitter,10,favourites_count,regression,test,eval_B0_40k_to_ukr_rus_twitter_reg_10shot_favourites_count_10_07_2026_21_48_56,0.012520830051477638,8.45642634600516,8.022171974182129,-9.016921043395996,71.51114654541016
B0_40k,ukr_rus_twitter,10,listed_count,regression,test,eval_B0_40k_to_ukr_rus_twitter_reg_10shot_listed_count_10_07_2026_21_51_44,-0.011939333323929718,1.775900520988202,1.1649798154830933,-0.754792332649231,3.153822660446167
B0_40k,ukr_rus_twitter,10,account_age_days,regression,test,eval_B0_40k_to_ukr_rus_twitter_reg_10shot_account_age_days_10_07_2026_21_51_44,-0.04666606839387209,7.420551125759445,7.293449401855469,-28.989904403686523,55.064579010009766
B1_40k,ukr_rus_twitter,10,friends_count,regression,test,eval_B1_40k_to_ukr_rus_twitter_reg_10shot_friends_count_10_07_2026_21_51_46,-0.06630481490526817,6.099621882992299,5.879210948944092,-13.40238094329834,37.205387115478516
B1_40k,ukr_rus_twitter,10,followers_count,regression,test,eval_B1_40k_to_ukr_rus_twitter_reg_10shot_followers_count_10_07_2026_21_51_46,-0.08712352500015531,5.4417197855313315,4.944545745849609,-4.822673320770264,29.612314224243164
B1_40k,ukr_rus_twitter,10,favourites_count,regression,test,eval_B1_40k_to_ukr_rus_twitter_reg_10shot_favourites_count_10_07_2026_21_54_50,-0.0768321258100918,8.524378653785005,8.08950138092041,-9.17855167388916,72.66503143310547
B1_40k,ukr_rus_twitter,10,account_age_days,regression,test,eval_B1_40k_to_ukr_rus_twitter_reg_10shot_account_age_days_10_07_2026_21_54_50,-0.12563013375208001,7.488142940575209,7.35972261428833,-29.538734436035156,56.07228469848633
B1_40k,ukr_rus_twitter,10,listed_count,regression,test,eval_B1_40k_to_ukr_rus_twitter_reg_10shot_listed_count_10_07_2026_21_54_50,-0.06439604492949487,1.8023780478863034,1.188144326210022,-0.8075082302093506,3.2485666275024414
