order,rung,added,source_count,sources,target,roc_auc,accuracy,f1,execution_source
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",cp_hk_twitter,0.6312109090517242,0.09435,0.0943204522927095,CARC-V100
B,3,ukr_rus_twitter,3,"ukr_rus_suspended,election2020,ukr_rus_twitter",facebook_page_reference,0.901088814224138,0.5493,0.5493167055918079,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",ukr_rus_twitter,0.5998164253033206,0.0881333333333333,0.0881185329190594,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",covid19_twitter,0.7220159929597701,0.1762222222222222,0.1761720422010012,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",midterm,0.7153762811462325,0.13345,0.1334186010114267,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",covid_political,0.7595131453544061,0.1770055555555555,0.1770064902139568,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",election2020,0.6852599586206897,0.1454,0.1454024178733249,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",ukr_rus_suspended,0.6829367770114944,0.1613333333333333,0.1612993207420175,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",twibot20,0.7519381050925925,0.2692722222222222,0.2692770509790751,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",cp_hk_twitter,0.6246972785919541,0.0939166666666666,0.0938827914873616,CARC-V100
B,4,facebook_page_reference,4,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference",facebook_page_reference,0.8950563580459769,0.5427333333333333,0.5427801711537114,CARC-V100
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",ukr_rus_twitter,0.5989845685983397,0.0877111111111111,0.0877038672293559,CARC-V100
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",covid19_twitter,0.7188107795977013,0.1739222222222222,0.1738680877092683,CARC-V100
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",midterm,0.7132010448435505,0.1318888888888889,0.131856599059101,CARC-V100
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",covid_political,0.7588667954022987,0.1764666666666666,0.1764663286061555,CARC-V100
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",election2020,0.686113455172414,0.1466666666666666,0.1466555606320961,CARC-V100
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",ukr_rus_suspended,0.6837459011494252,0.1604,0.160383789115733,CARC-V100
B,5,cp_hk_twitter,5,"ukr_rus_suspended,election2020,ukr_rus_twitter,facebook_page_reference,cp_hk_twitter",twibot20,0.750119160376756,0.2667722222222222,0.2667811116013207,CARC-V100
