stream,model,decoder,full_model_outcome,n,conditional_accuracy
fresh,ss_ukr_rus,S0_pool/ridge,both_correct,1609,0.9850839030453697
fresh,ss_ukr_rus,S0_pool/ridge,b_only,1142,0.957968476357268
fresh,ss_ukr_rus,S0_pool/ridge,c_only,124,0.5483870967741935
fresh,ss_ukr_rus,S0_pool/ridge,both_wrong,197,0.3756345177664975
fresh,ss_ukr_rus,U1_pre_meta/prototype,both_correct,1609,0.9900559353635798
fresh,ss_ukr_rus,U1_pre_meta/prototype,b_only,1142,0.9737302977232924
fresh,ss_ukr_rus,U1_pre_meta/prototype,c_only,124,0.3548387096774194
fresh,ss_ukr_rus,U1_pre_meta/prototype,both_wrong,197,0.23857868020304568
fresh,ss_ukr_rus,U1_pre_meta/ridge,both_correct,1609,0.9925419515226849
fresh,ss_ukr_rus,U1_pre_meta/ridge,b_only,1142,0.978108581436077
fresh,ss_ukr_rus,U1_pre_meta/ridge,c_only,124,0.3709677419354839
fresh,ss_ukr_rus,U1_pre_meta/ridge,both_wrong,197,0.25380710659898476
fresh,ss_ukr_rus,M2_post_meta/prototype,both_correct,1609,0.5500310752019888
fresh,ss_ukr_rus,M2_post_meta/prototype,b_only,1142,0.3966725043782837
fresh,ss_ukr_rus,M2_post_meta/prototype,c_only,124,0.10483870967741936
fresh,ss_ukr_rus,M2_post_meta/prototype,both_wrong,197,0.14720812182741116
fresh,ss_ukr_rus,M2_post_meta/ridge,both_correct,1609,0.5779987569919205
fresh,ss_ukr_rus,M2_post_meta/ridge,b_only,1142,0.4054290718038529
fresh,ss_ukr_rus,M2_post_meta/ridge,c_only,124,0.11290322580645161
fresh,ss_ukr_rus,M2_post_meta/ridge,both_wrong,197,0.15228426395939088
fresh,ss_ukr_rus,final_input/prototype,both_correct,1609,0.5500310752019888
fresh,ss_ukr_rus,final_input/prototype,b_only,1142,0.3966725043782837
fresh,ss_ukr_rus,final_input/prototype,c_only,124,0.10483870967741936
fresh,ss_ukr_rus,final_input/prototype,both_wrong,197,0.14720812182741116
fresh,ss_ukr_rus,final_input/ridge,both_correct,1609,0.5779987569919205
fresh,ss_ukr_rus,final_input/ridge,b_only,1142,0.4054290718038529
fresh,ss_ukr_rus,final_input/ridge,c_only,124,0.11290322580645161
