base_source,added_source,pair_model_id,target,base_specialist_auc,pair_auc,delta_auc,target_heldout_from_pair
cp_hk,midterm,nmpair_midterm__cp_hk,ukr_rus_suspended,0.46270751953125,0.49151611328125,0.02880859375,1
midterm,cp_hk,nmpair_midterm__cp_hk,ukr_rus_suspended,0.520751953125,0.49151611328125,-0.02923583984375,1
election2020,midterm,nmpair_midterm__election2020,covid_political,0.9326838740596064,0.9095303570782696,-0.02315351698133683,1
midterm,election2020,nmpair_midterm__election2020,covid_political,0.8891853049949364,0.9095303570782696,0.02034505208333315,1
election2020,midterm,nmpair_midterm__election2020,election2020,0.98321533203125,0.98638916015625,0.003173828125,0
midterm,election2020,nmpair_midterm__election2020,election2020,0.98309326171875,0.98638916015625,0.0032958984375,0
election2020,midterm,nmpair_midterm__election2020,facebook_page_reference,0.6424598693847656,0.7289810180664062,0.08652114868164062,1
midterm,election2020,nmpair_midterm__election2020,facebook_page_reference,0.7226409912109375,0.7289810180664062,0.00634002685546875,1
election2020,midterm,nmpair_midterm__election2020,twibot20,0.630302005343967,0.5785543653700087,-0.05174763997395826,1
midterm,election2020,nmpair_midterm__election2020,twibot20,0.5385085211859809,0.5785543653700087,0.04004584418402779,1
election2020,midterm,nmpair_midterm__election2020,ukr_rus_suspended,0.4840087890625,0.5079345703125,0.02392578125,1
midterm,election2020,nmpair_midterm__election2020,ukr_rus_suspended,0.520751953125,0.5079345703125,-0.0128173828125,1
facebook_page_reference,midterm,nmpair_midterm__facebook_page_reference,covid_political,0.6227747599283854,0.8859789813006367,0.2632042213722513,1
midterm,facebook_page_reference,nmpair_midterm__facebook_page_reference,covid_political,0.8891853049949364,0.8859789813006367,-0.0032063236942997397,1
facebook_page_reference,midterm,nmpair_midterm__facebook_page_reference,election2020,0.96026611328125,0.9869384765625,0.02667236328125,1
midterm,facebook_page_reference,nmpair_midterm__facebook_page_reference,election2020,0.98309326171875,0.9869384765625,0.00384521484375,1
facebook_page_reference,midterm,nmpair_midterm__facebook_page_reference,facebook_page_reference,0.7076454162597656,0.7504768371582031,0.0428314208984375,0
midterm,facebook_page_reference,nmpair_midterm__facebook_page_reference,facebook_page_reference,0.7226409912109375,0.7504768371582031,0.027835845947265625,0
facebook_page_reference,midterm,nmpair_midterm__facebook_page_reference,twibot20,0.5155548519558377,0.5887777540418837,0.07322290208604598,1
midterm,facebook_page_reference,nmpair_midterm__facebook_page_reference,twibot20,0.5385085211859809,0.5887777540418837,0.05026923285590279,1
facebook_page_reference,midterm,nmpair_midterm__facebook_page_reference,ukr_rus_suspended,0.474273681640625,0.52044677734375,0.046173095703125,1
midterm,facebook_page_reference,nmpair_midterm__facebook_page_reference,ukr_rus_suspended,0.520751953125,0.52044677734375,-0.00030517578125,1
midterm,twibot20,nmpair_midterm__twibot20,covid_political,0.8891853049949364,0.909353185583044,0.02016788058810759,1
twibot20,midterm,nmpair_midterm__twibot20,covid_political,0.9185067635995372,0.909353185583044,-0.009153578016493191,1
midterm,twibot20,nmpair_midterm__twibot20,election2020,0.98309326171875,0.98834228515625,0.0052490234375,1
twibot20,midterm,nmpair_midterm__twibot20,election2020,0.99090576171875,0.98834228515625,-0.0025634765625,1
midterm,twibot20,nmpair_midterm__twibot20,facebook_page_reference,0.7226409912109375,0.7486076354980469,0.025966644287109375,1
twibot20,midterm,nmpair_midterm__twibot20,facebook_page_reference,0.7738265991210938,0.7486076354980469,-0.025218963623046875,1
midterm,twibot20,nmpair_midterm__twibot20,twibot20,0.5385085211859809,0.6032129923502605,0.06470447116427958,0
twibot20,midterm,nmpair_midterm__twibot20,twibot20,0.6227556864420573,0.6032129923502605,-0.019542694091796764,0
midterm,twibot20,nmpair_midterm__twibot20,ukr_rus_suspended,0.520751953125,0.5225830078125,0.0018310546875,1
twibot20,midterm,nmpair_midterm__twibot20,ukr_rus_suspended,0.51171875,0.5225830078125,0.0108642578125,1
midterm,ukr_rus_suspended,nmpair_midterm__ukr_rus_suspended,covid_political,0.8891853049949364,0.8926363344545718,0.0034510294596353797,1
ukr_rus_suspended,midterm,nmpair_midterm__ukr_rus_suspended,covid_political,0.6844465467664931,0.8926363344545718,0.20818978768807872,1
midterm,ukr_rus_suspended,nmpair_midterm__ukr_rus_suspended,election2020,0.98309326171875,0.9857177734375,0.00262451171875,1
ukr_rus_suspended,midterm,nmpair_midterm__ukr_rus_suspended,election2020,0.97235107421875,0.9857177734375,0.01336669921875,1
midterm,ukr_rus_suspended,nmpair_midterm__ukr_rus_suspended,facebook_page_reference,0.7226409912109375,0.6784172058105469,-0.044223785400390625,1
