base_source,added_source,pair_model_id,base_all_target_mean_auc,heldout_mean_delta_auc,all_target_mean_delta_auc,delta_to_ukr_rus,delta_to_facebook_page_reference,delta_to_covid,delta_to_twibot20,delta_to_covid_political,delta_to_ukr_rus_suspended,delta_to_midterm,delta_to_election2020,delta_to_cp_hk
ukr_rus_suspended,ukr_rus,nmpair_ukr_rus__ukr_rus_suspended,78.89346735078561,8.093885968275652,7.479525081347084,10.488140404909508,9.47258750597635,7.457934302845204,12.578568102299492,7.692660833227238,0.17038354928468058,8.192195453863027,7.68613745426312,3.5771181254551365
ukr_rus_suspended,covid,nmpair_covid__ukr_rus_suspended,78.89346735078561,7.900268101731349,7.0226281371305435,7.196080917599568,8.605003069187022,8.040399263645048,12.929987441534275,7.886502934598383,-0.1386227415896002,7.940479708814053,7.870472409259333,2.8733502311268144
ukr_rus_suspended,twibot20,nmpair_ukr_rus_suspended__twibot20,78.89346735078561,6.447723653711908,6.537128227119402,6.17814745026074,5.121840772957642,6.67747741458059,13.887219346802803,7.714721827671466,-0.18713087871153888,7.6164736144843985,7.892575195465978,3.9328293005625348
ukr_rus_suspended,midterm,nmpair_midterm__ukr_rus_suspended,78.89346735078561,4.664537248940299,4.633766992795506,1.6097448201014997,3.5150551795959495,2.287874495846065,8.192256579453904,8.10522043842009,-0.4252349645242015,9.477377157101664,7.513133397047556,1.4284758321170266
ukr_rus_suspended,facebook_page_reference,nmpair_ukr_rus_suspended__facebook_page_reference,78.89346735078561,4.279559805671172,4.198651733983061,3.556607345054874,8.88749667967872,2.8877837082435076,6.863927786377655,4.478052566791413,-1.0565497135293755,4.016952103581906,6.813781206635228,1.339813923013622
ukr_rus_suspended,covid_political,nmpair_covid_political__ukr_rus_suspended,78.89346735078561,3.588794501152722,3.9632058326311927,2.2347716079361146,3.6738227975779414,1.9197247768270254,5.082605474296653,10.900813546674016,-0.35352256106233604,2.9866780220777045,6.833915381596023,2.390043447757595
ukr_rus_suspended,election2020,nmpair_election2020__ukr_rus_suspended,78.89346735078561,3.32534536352298,4.016014023911144,2.326695357245945,3.578474795681297,1.7803705697772343,4.5197053065245125,5.89663490481761,0.010240557550023066,3.2076249862539097,12.856468112989416,1.9679116243603523
ukr_rus_suspended,cp_hk,nmpair_ukr_rus_suspended__cp_hk,78.89346735078561,2.8925656606802606,3.554245620242786,1.2724136484080328,5.016720870445535,0.667145334441066,2.2997156778971295,1.8072474139860462,-0.13087124660096094,5.670878832367632,3.5138378472163834,11.871122204024209
cp_hk,ukr_rus,nmpair_ukr_rus__cp_hk,77.15230943599423,10.275326334979924,9.538929811078157,14.544472913632422,11.753698546310954,9.866447298006054,12.587588066342226,11.58571366606087,10.145872351767004,3.9226000062350552,12.065364410137303,-0.6213889587884713
cp_hk,covid,nmpair_covid__cp_hk,77.15230943599423,9.378013604967473,8.315753189235513,11.333554366539255,7.715616527645064,10.139745186115112,12.369567443584572,10.610434255380753,9.521186447691655,2.315942007919869,11.779794186011138,-0.9440617177678079
