architecture	pretraining_objective	model_id	n_sources	sources	target	auc	average_precision	hits_at_50	orientation	n_test_pairs	holdout_leakage_edges	endpoint_sensitivity	endpoint_permutation_auc	checkpoint_step	seed	protocol
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	midterm	0.6724964285714286				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	twibot20	0.7806709183673469				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	ukr_rus_suspended	0.6416237244897959				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__covid_political	2	covid19_twitter,covid_political	ukr_rus_twitter	0.6906744897959184				2800	0			2750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	covid19_twitter	0.8005247448979592				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	covid_political	0.6187676020408164				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	cp_hk_twitter	0.5687293367346938				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	election2020	0.7162094387755102				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	facebook_page_reference	0.6623229591836735				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	midterm	0.6465002551020408				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	twibot20	0.7715931122448979				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	ukr_rus_suspended	0.6312191326530612				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__cp_hk_twitter	2	covid19_twitter,cp_hk_twitter	ukr_rus_twitter	0.699656887755102				2800	0			4000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	covid19_twitter	0.7891650510204081				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	covid_political	0.6464005102040816				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	cp_hk_twitter	0.5500395408163266				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	election2020	0.7683056122448979				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	facebook_page_reference	0.6682872448979592				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	midterm	0.6639852040816326				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	twibot20	0.7992188775510204				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	ukr_rus_suspended	0.6416806122448979				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__election2020	2	covid19_twitter,election2020	ukr_rus_twitter	0.6906783163265307				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	covid19_twitter	0.7969543367346938				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	covid_political	0.5822760204081633				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	cp_hk_twitter	0.5690206632653061				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	election2020	0.6669625				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	facebook_page_reference	0.7618030612244898				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	midterm	0.6559668367346939				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	twibot20	0.7423977040816326				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	ukr_rus_suspended	0.6303466836734694				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__facebook_page_reference	2	covid19_twitter,facebook_page_reference	ukr_rus_twitter	0.6959397959183673				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	covid19_twitter	0.7991875				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	covid_political	0.625875				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	cp_hk_twitter	0.5457033163265306				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	election2020	0.7312673469387755				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	facebook_page_reference	0.6509377551020408				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	midterm	0.6684795918367347				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	twibot20	0.7753168367346939				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	ukr_rus_suspended	0.6342045918367347				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__midterm	2	covid19_twitter,midterm	ukr_rus_twitter	0.6964168367346939				2800	0			3000	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	covid19_twitter	0.7977033163265306				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	covid_political	0.617405612244898				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	cp_hk_twitter	0.5649211734693877				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
graphsage	graphmae	pair_covid19_twitter__twibot20	2	covid19_twitter,twibot20	election2020	0.7375382653061224				2800	0			3750	0	graphsage_frozen_static_lp_degree_matched_v1
