source,objective,update,accuracy,loss
election2020,NM,467,0.9531,0.1956
election2020,MT,469,0.1969,2.2607
election2020,NM,469,0.9844,0.0673
election2020,MT,471,0.2302,2.1655
election2020,NM,471,0.9531,0.1954
election2020,MT,473,0.225,2.2235
election2020,NM,473,0.9844,0.1246
election2020,MT,475,0.2323,2.2048
election2020,NM,475,0.9844,0.0948
election2020,MT,477,0.2354,2.2137
election2020,NM,477,0.9688,0.1259
election2020,MT,479,0.226,2.2086
election2020,NM,479,0.9844,0.0731
election2020,MT,481,0.2531,2.1235
election2020,NM,481,0.9844,0.0634
election2020,MT,483,0.2229,2.236
election2020,NM,483,1.0,0.0196
election2020,MT,485,0.226,2.236
election2020,NM,485,0.9531,0.1834
election2020,MT,487,0.2406,2.2054
election2020,NM,487,0.9688,0.1455
election2020,MT,489,0.249,2.2169
election2020,NM,489,0.9844,0.1067
election2020,MT,491,0.2427,2.1496
election2020,NM,491,1.0,0.0119
election2020,MT,493,0.225,2.1491
election2020,NM,493,0.9844,0.0634
election2020,MT,495,0.2635,2.1964
election2020,NM,495,1.0,0.0128
election2020,MT,497,0.2333,2.1939
election2020,NM,497,0.9531,0.2659
election2020,MT,499,0.2406,2.1965
election2020,NM,499,0.9688,0.1646
election2020,MT,501,0.2344,2.1677
election2020,NM,501,0.9531,0.1771
election2020,MT,503,0.2531,2.2453
election2020,NM,503,0.9531,0.1906
election2020,MT,505,0.2302,2.2422
election2020,NM,505,0.9844,0.0613
election2020,MT,507,0.2146,2.2671
election2020,NM,507,0.9844,0.0951
election2020,MT,509,0.2458,2.2097
election2020,NM,509,0.9844,0.0957
election2020,MT,511,0.225,2.2175
election2020,NM,511,0.9844,0.0906
election2020,MT,513,0.225,2.2285
election2020,NM,513,0.9688,0.1357
election2020,MT,515,0.2229,2.2166
election2020,NM,515,1.0,0.0282
election2020,MT,517,0.2323,2.2556
election2020,NM,517,1.0,0.0194
election2020,MT,519,0.2562,2.1916
election2020,NM,519,1.0,0.0147
election2020,MT,521,0.2365,2.2583
election2020,NM,521,1.0,0.0102
election2020,MT,523,0.2792,2.1082
election2020,NM,523,0.9844,0.0657
election2020,MT,525,0.2292,2.2139
election2020,NM,525,0.9844,0.0878
election2020,MT,527,0.2167,2.2194
election2020,NM,527,1.0,0.0082
election2020,MT,529,0.2469,2.1593
election2020,NM,529,0.9844,0.0611
election2020,MT,531,0.25,2.2019
election2020,NM,531,0.9844,0.0706
election2020,MT,533,0.2531,2.2305
election2020,NM,533,0.9844,0.0732
election2020,MT,535,0.2479,2.1193
election2020,NM,535,0.9844,0.0628
election2020,MT,537,0.2292,2.1984
election2020,NM,537,0.9375,0.2158
election2020,MT,539,0.251,2.161
election2020,NM,539,0.9688,0.0987
election2020,MT,541,0.2302,2.2116
election2020,NM,541,1.0,0.0533
election2020,MT,543,0.275,2.1667
election2020,NM,543,0.9844,0.1112
election2020,MT,545,0.2333,2.2477
election2020,NM,545,1.0,0.0231
election2020,MT,547,0.2448,2.1851
election2020,NM,547,0.9688,0.1216
election2020,MT,549,0.2573,2.154
election2020,NM,549,1.0,0.0137
election2020,MT,551,0.2406,2.2267
election2020,NM,551,1.0,0.0128
election2020,MT,553,0.2552,2.094
election2020,NM,553,0.9844,0.0644
election2020,MT,555,0.2281,2.163
election2020,NM,555,0.9688,0.1556
election2020,MT,557,0.2531,2.1646
election2020,NM,557,0.9844,0.071
election2020,MT,559,0.2573,2.2195
election2020,NM,559,0.9688,0.118
election2020,MT,561,0.2313,2.2219
election2020,NM,561,1.0,0.0084
election2020,MT,563,0.2479,2.1332
election2020,NM,563,1.0,0.0098
election2020,MT,565,0.2604,2.163
election2020,NM,565,0.9844,0.0943
election2020,MT,567,0.2698,2.1195
election2020,NM,567,0.9531,0.2182
election2020,MT,569,0.249,2.1795
election2020,NM,569,0.9688,0.0825
election2020,MT,571,0.2604,2.1639
election2020,NM,571,0.9531,0.2188
election2020,MT,573,0.2479,2.1812
election2020,NM,573,0.9844,0.0611
election2020,MT,575,0.2344,2.1549
election2020,NM,575,1.0,0.0286
