threshold,alpha,iterations,excluded,target,run_dir,val_accuracy,val_roc_auc,test_accuracy,test_roc_auc
0.9,0.5,1,twibot20,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_twibot20_to_covid_political_pl_3shot_01_09_2026_01_28_57,0.897375,0.953341959201389,0.8947708333333333,0.9483234791666668
0.9,0.5,1,twibot20,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_twibot20_to_election2020_pl_3shot_01_09_2026_01_28_59,0.97375,0.9911070000000001,0.976,0.9892970000000001
0.9,0.5,1,twibot20,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_twibot20_to_facebook_page_reference_pl_3shot_01_09_2026_01_29_34,0.12017083333333334,0.7328414504489943,0.1196,0.7307435069145117
0.9,0.5,1,twibot20,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_twibot20_to_twibot20_pl_3shot_01_09_2026_01_29_37,0.6469791666666667,0.6816933072916667,0.6305416666666667,0.6646963680555557
0.9,0.5,1,twibot20,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_twibot20_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_32_05,0.547,0.5834803749999999,0.55025,0.579896875
0.9,0.5,1,ukr_rus_suspended,covid_political,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_ukr_rus_suspended_to_covid_political_pl_3shot_01_09_2026_01_28_59,0.9006875,0.9530106892361113,0.8956458333333334,0.9478113602430555
0.9,0.5,1,ukr_rus_suspended,election2020,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_ukr_rus_suspended_to_election2020_pl_3shot_01_09_2026_01_28_59,0.97175,0.9897875,0.97025,0.988495
0.9,0.5,1,ukr_rus_suspended,facebook_page_reference,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_ukr_rus_suspended_to_facebook_page_reference_pl_3shot_01_09_2026_01_29_48,0.14816666666666667,0.7524120582255746,0.14567916666666667,0.7482683294989224
0.9,0.5,1,ukr_rus_suspended,twibot20,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_ukr_rus_suspended_to_twibot20_pl_3shot_01_09_2026_01_29_49,0.7239166666666667,0.7945936232638889,0.7231875,0.7989141805555555
0.9,0.5,1,ukr_rus_suspended,ukr_rus_suspended,/dataMeR1/phil/gfm/prodigy-mttrans/log/eval_TRANS_T09_A05_I1_EXCL_ukr_rus_suspended_to_ukr_rus_suspended_pl_3shot_01_09_2026_01_32_15,0.515,0.514995875,0.50025,0.498086375
