state,trial,action,source,gradient_cosine,conflict,update_norm,matched_scale,train_bce_delta,bce_before,bce_delta,auc_before,auc_delta_pp
best,7,mixed_norm_matched,facebook_page_reference,0.5310459264613049,False,0.055380645627951135,1.0,-0.001677587628364563,0.16715295016765594,0.004378356039524106,0.9632002804279327,-0.07544531822204492
final,0,mixed,ukr_rus_twitter,-0.15743585661234402,True,0.05063335740524652,1.023729410353736,-0.001048952341079712,0.08890620432794094,-0.00034217461943625294,0.9865880475044251,0.004119038581840151
final,0,mixed,facebook_page_reference,-0.15743585661234402,True,0.05063335740524652,1.023729410353736,0.0011016204953193665,0.1769020117819309,-0.0029239378869533317,0.9607913618087768,0.031099963188174762
final,0,corrected,ukr_rus_twitter,-0.15743585661234402,True,0.05183485712070299,1.023729410353736,-0.0014064013957977295,0.08890620432794094,-0.0004507947713136701,0.9865880475044251,0.007233119010929823
final,0,corrected,facebook_page_reference,-0.15743585661234402,True,0.05183485712070299,1.023729410353736,0.0008093118667602539,0.1769020117819309,-0.0029310621321201047,0.9607913618087768,0.03574755191804169
final,0,mixed_norm_matched,ukr_rus_twitter,-0.15743585661234402,True,0.05183485880776316,1.023729410353736,-0.001065365970134735,0.08890620432794094,-0.0003431912511587115,0.9865880475044251,0.004206967353814761
final,0,mixed_norm_matched,facebook_page_reference,-0.15743585661234402,True,0.05183485880776316,1.023729410353736,0.0011479184031486511,0.1769020117819309,-0.002973782271146752,0.9607913618087768,0.03174681663514756
final,1,mixed,ukr_rus_twitter,-0.11932256184018186,True,0.05124597581831928,1.0166621187753677,-0.0015432685613632202,0.08890620432794094,-0.0005587883293628748,0.9865880475044251,0.01168775558471058
final,1,mixed,facebook_page_reference,-0.11932256184018186,True,0.05124597581831928,1.0166621187753677,0.001627594232559204,0.1769020117819309,-0.003455148637294736,0.9607913618087768,0.04305889606476265
final,1,corrected,ukr_rus_twitter,-0.11932256184018186,True,0.05209984235416373,1.0166621187753677,-0.0017637833952903748,0.08890620432794094,-0.0006309460848569898,0.9865880475044251,0.01402635574340172
final,1,corrected,facebook_page_reference,-0.11932256184018186,True,0.05209984235416373,1.0166621187753677,0.001369372010231018,0.1769020117819309,-0.003482624888420105,0.9607913618087768,0.04665296077728254
final,1,mixed_norm_matched,ukr_rus_twitter,-0.11932256184018186,True,0.05209984245473375,1.0166621187753677,-0.0015599429607391357,0.08890620432794094,-0.0005586400628090071,0.9865880475044251,0.011850333213803133
final,1,mixed_norm_matched,facebook_page_reference,-0.11932256184018186,True,0.05209984245473375,1.0166621187753677,0.0016772449016571045,0.1769020117819309,-0.0034916520118713212,0.9607913618087768,0.04369974136352317
final,2,mixed,ukr_rus_twitter,-0.2759626115778494,True,0.05634471308855436,1.0590638117013296,-0.0035474449396133423,0.08890620432794094,-0.00024395622313024,0.9865880475044251,0.03300342559814373
final,2,mixed,facebook_page_reference,-0.2759626115778494,True,0.05634471308855436,1.0590638117013296,0.0038251280784606934,0.1769020117819309,-0.004514252394437812,0.9607913618087768,0.07406179904938526
final,2,corrected,ukr_rus_twitter,-0.2759626115778494,True,0.059672646612782175,1.0590638117013296,-0.003713272511959076,0.08890620432794094,-0.00025737099349500137,0.9865880475044251,0.03543806076049538
final,2,corrected,facebook_page_reference,-0.2759626115778494,True,0.059672646612782175,1.0590638117013296,0.0026765242218971252,0.1769020117819309,-0.004611277580261225,0.9607913618087768,0.07855856418610419
final,2,mixed_norm_matched,ukr_rus_twitter,-0.2759626115778494,True,0.05967264551768714,1.0590638117013296,-0.003602325916290283,0.08890620432794094,-0.00010610632598401226,0.9865880475044251,0.03465092182159957
