accuracy	architecture	baseline	checkpoint_step	dataset	episode_fingerprint	episodes	eval_episode_seed_offset	f1	model_id	n_query	n_shot	n_way	queries	roc_auc	seed	sources	task	training_seed	result_file	aux_loss	checkpoint	evaluation_seed	loss	score	score_std
0.984375	gilt	pretrained	300	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.9844961240310077	ss_election2020	1	10	2	256	0.988525390625	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step300.jsonl						
0.5113932291666666	gilt	pretrained	300	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.506087528792366	ss_election2020	12	10	2	3072	0.5172000461154513	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step300.jsonl						
0.578125	gilt	pretrained	300	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.5697211155378487	ss_election2020	4	10	2	1024	0.6147384643554688	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step300.jsonl						
0.8714192708333334	gilt	pretrained	60	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.8661470687902406	ss_election2020	12	10	2	3072	0.9377009250197103	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step60.jsonl						
0.51953125	gilt	pretrained	60	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.525096525096525	ss_election2020	1	10	2	256	0.498046875	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step60.jsonl						
0.98046875	gilt	pretrained	60	election2020	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	128	0	0.9806949806949807	ss_election2020	1	10	2	256	0.99041748046875	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step60.jsonl						
0.5065104166666666	gilt	pretrained	60	twibot20	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	128	0	0.5122265122265123	ss_election2020	12	10	2	3072	0.5110687679714627	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step60.jsonl						
0.5634765625	gilt	pretrained	60	facebook_page_reference	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	128	0	0.56047197640118	ss_election2020	4	10	2	1024	0.5976028442382812	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step60.jsonl						
0.9108072916666666	gilt	pretrained	900	covid_political	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	128	0	0.9069925322471147	ss_election2020	12	10	2	3072	0.9502797657885436	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step900.jsonl						
0.515625	gilt	pretrained	900	ukr_rus_suspended	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	128	0	0.5267175572519084	ss_election2020	1	10	2	256	0.5087890625	0	['election2020']	classification	0	/dataMeR1/phil/gfm/prodigy-archsat900/log/icl_arch_saturation_900_seed0_eval/results/cls_gilt_ss_election2020_s0_o0_step900.jsonl						
