arm,step,task,dataset,target,metric,value,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path
covid,1000,classification,twibot20,,roc_auc,0.6184721805555555,sat_h2m_covid_s001000,sat_h2m_covid_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s001000_to_twibot20_pl_10shot_01_08_2026_13_39_49/data/metrics_test_step0.json
covid,1000,classification,ukr_rus_suspended,,roc_auc,0.496494,sat_h2m_covid_s001000,sat_h2m_covid_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s001000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_06/data/metrics_test_step0.json
covid,2000,classification,covid_political,,roc_auc,0.9381513055555555,sat_h2m_covid_s002000,sat_h2m_covid_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s002000_to_covid_political_pl_10shot_01_08_2026_13_32_26/data/metrics_test_step0.json
covid,2000,classification,election2020,,roc_auc,0.985968,sat_h2m_covid_s002000,sat_h2m_covid_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s002000_to_election2020_pl_10shot_01_08_2026_13_34_56/data/metrics_test_step0.json
covid,2000,classification,twibot20,,roc_auc,0.6242197638888889,sat_h2m_covid_s002000,sat_h2m_covid_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s002000_to_twibot20_pl_10shot_01_08_2026_13_40_00/data/metrics_test_step0.json
covid,2000,classification,ukr_rus_suspended,,roc_auc,0.497494,sat_h2m_covid_s002000,sat_h2m_covid_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s002000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_14/data/metrics_test_step0.json
covid,10000,classification,covid_political,,roc_auc,0.9359338472222222,sat_h2m_covid_s010000,sat_h2m_covid_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s010000_to_covid_political_pl_10shot_01_08_2026_13_32_26/data/metrics_test_step0.json
covid,10000,classification,election2020,,roc_auc,0.98404,sat_h2m_covid_s010000,sat_h2m_covid_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s010000_to_election2020_pl_10shot_01_08_2026_13_35_07/data/metrics_test_step0.json
covid,10000,classification,twibot20,,roc_auc,0.6193411249999999,sat_h2m_covid_s010000,sat_h2m_covid_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s010000_to_twibot20_pl_10shot_01_08_2026_13_40_02/data/metrics_test_step0.json
covid,10000,classification,ukr_rus_suspended,,roc_auc,0.503988,sat_h2m_covid_s010000,sat_h2m_covid_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s010000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_28/data/metrics_test_step0.json
covid,40000,classification,covid_political,,roc_auc,0.9354228333333333,sat_h2m_covid_s040000,sat_h2m_covid_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s040000_to_covid_political_pl_10shot_01_08_2026_13_32_48/data/metrics_test_step0.json
