arm,step,task,dataset,target,metric,value_h2,model,source_model,shared_step0,n_hop,hop_sizes,node_limit,nm_walk_hops,evidence_path,value_h1,delta_h2_minus_h1
covid,500,classification,covid_political,,roc_auc,0.9247145555555556,sat_h2m_covid_s000500,sat_h2m_covid_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000500_to_covid_political_pl_10shot_01_08_2026_13_31_29/data/metrics_test_step0.json,0.8082542222222222,0.11646033333333339
covid,500,classification,election2020,,roc_auc,0.9851560000000001,sat_h2m_covid_s000500,sat_h2m_covid_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000500_to_election2020_pl_10shot_01_08_2026_13_34_46/data/metrics_test_step0.json,0.969396,0.015760000000000107
covid,500,classification,twibot20,,roc_auc,0.6160567916666666,sat_h2m_covid_s000500,sat_h2m_covid_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000500_to_twibot20_pl_10shot_01_08_2026_13_39_35/data/metrics_test_step0.json,0.6047034166666667,0.011353374999999888
covid,500,classification,ukr_rus_suspended,,roc_auc,0.495016,sat_h2m_covid_s000500,sat_h2m_covid_s000500,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s000500_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_06/data/metrics_test_step0.json,0.4848959999999999,0.010120000000000129
covid,1000,classification,covid_political,,roc_auc,0.9294211527777778,sat_h2m_covid_s001000,sat_h2m_covid_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s001000_to_covid_political_pl_10shot_01_08_2026_13_32_26/data/metrics_test_step0.json,0.8637905277777778,0.06563062500000005
covid,1000,classification,election2020,,roc_auc,0.9857640000000001,sat_h2m_covid_s001000,sat_h2m_covid_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s001000_to_election2020_pl_10shot_01_08_2026_13_34_56/data/metrics_test_step0.json,0.97398,0.011784000000000128
covid,1000,classification,twibot20,,roc_auc,0.6184721805555555,sat_h2m_covid_s001000,sat_h2m_covid_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s001000_to_twibot20_pl_10shot_01_08_2026_13_39_49/data/metrics_test_step0.json,0.5908047083333333,0.02766747222222221
covid,1000,classification,ukr_rus_suspended,,roc_auc,0.496494,sat_h2m_covid_s001000,sat_h2m_covid_s001000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s001000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_06/data/metrics_test_step0.json,0.48036,0.01613399999999998
covid,2000,classification,covid_political,,roc_auc,0.9381513055555555,sat_h2m_covid_s002000,sat_h2m_covid_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s002000_to_covid_political_pl_10shot_01_08_2026_13_32_26/data/metrics_test_step0.json,0.8810633055555555,0.05708800000000003
covid,2000,classification,election2020,,roc_auc,0.985968,sat_h2m_covid_s002000,sat_h2m_covid_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s002000_to_election2020_pl_10shot_01_08_2026_13_34_56/data/metrics_test_step0.json,0.983628,0.0023400000000000087
covid,2000,classification,twibot20,,roc_auc,0.6242197638888889,sat_h2m_covid_s002000,sat_h2m_covid_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s002000_to_twibot20_pl_10shot_01_08_2026_13_40_00/data/metrics_test_step0.json,0.6489814027777778,-0.024761638888888937
covid,2000,classification,ukr_rus_suspended,,roc_auc,0.497494,sat_h2m_covid_s002000,sat_h2m_covid_s002000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s002000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_14/data/metrics_test_step0.json,0.48658,0.01091399999999998
covid,10000,classification,covid_political,,roc_auc,0.9359338472222222,sat_h2m_covid_s010000,sat_h2m_covid_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s010000_to_covid_political_pl_10shot_01_08_2026_13_32_26/data/metrics_test_step0.json,0.9000546944444444,0.035879152777777756
covid,10000,classification,election2020,,roc_auc,0.98404,sat_h2m_covid_s010000,sat_h2m_covid_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s010000_to_election2020_pl_10shot_01_08_2026_13_35_07/data/metrics_test_step0.json,0.979464,0.0045760000000000245
covid,10000,classification,twibot20,,roc_auc,0.6193411249999999,sat_h2m_covid_s010000,sat_h2m_covid_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s010000_to_twibot20_pl_10shot_01_08_2026_13_40_02/data/metrics_test_step0.json,0.6380478888888889,-0.018706763888888922
covid,10000,classification,ukr_rus_suspended,,roc_auc,0.503988,sat_h2m_covid_s010000,sat_h2m_covid_s010000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s010000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_28/data/metrics_test_step0.json,0.50815,-0.004161999999999999
covid,40000,classification,covid_political,,roc_auc,0.9354228333333333,sat_h2m_covid_s040000,sat_h2m_covid_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s040000_to_covid_political_pl_10shot_01_08_2026_13_32_48/data/metrics_test_step0.json,0.897705625,0.03771720833333336
covid,40000,classification,election2020,,roc_auc,0.9846320000000001,sat_h2m_covid_s040000,sat_h2m_covid_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s040000_to_election2020_pl_10shot_01_08_2026_13_35_18/data/metrics_test_step0.json,0.978274,0.006358000000000086
covid,40000,classification,twibot20,,roc_auc,0.5971999305555555,sat_h2m_covid_s040000,sat_h2m_covid_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s040000_to_twibot20_pl_10shot_01_08_2026_13_40_14/data/metrics_test_step0.json,0.6231023055555556,-0.025902375000000033
covid,40000,classification,ukr_rus_suspended,,roc_auc,0.511888,sat_h2m_covid_s040000,sat_h2m_covid_s040000,False,2,"9,9",101,1,/dataMeR1/phil/gfm/prodigy-sat-h2/log/eval_sat_h2m_covid_s040000_to_ukr_rus_suspended_pl_10shot_01_08_2026_13_37_28/data/metrics_test_step0.json,0.483502,0.028386000000000022
