target,family,checkpoint_step,metric,seeds,mean,sample_std
pubmed,specialist,2500,accuracy,3,0.710045546130272,0.0025297376454872476
pubmed,specialist,2500,f1_macro,3,0.6934517932653409,0.0032290548132603435
pubmed,specialist,2500,roc_auc_ovr_macro,3,0.85139062455228,0.0027011879753491086
twibot20,leave_one_out,100,accuracy,3,0.49528488339262516,0.004201401599275939
twibot20,leave_one_out,100,f1_macro,3,0.48986227141694605,0.0042741568911100975
twibot20,leave_one_out,100,roc_auc_ovr_macro,3,0.49124747362967464,0.007044064588476465
twibot20,leave_one_out,300,accuracy,3,0.5124230617200293,0.00408802028296082
twibot20,leave_one_out,300,f1_macro,3,0.5107595537483619,0.005044887176473484
twibot20,leave_one_out,300,roc_auc_ovr_macro,3,0.5157844499631605,0.004986375171731735
twibot20,leave_one_out,900,accuracy,3,0.5241685018916935,0.0032907114539123474
twibot20,leave_one_out,900,f1_macro,3,0.5241299047826051,0.0033045269699223667
twibot20,leave_one_out,900,roc_auc_ovr_macro,3,0.5547158255219131,0.005930762950343307
twibot20,leave_one_out,2500,accuracy,3,0.5268225196227907,0.005821936808980672
twibot20,leave_one_out,2500,f1_macro,3,0.5267840009384755,0.0057925292772121415
twibot20,leave_one_out,2500,roc_auc_ovr_macro,3,0.5589182948037595,0.0028323425214918335
twibot20,specialist,100,accuracy,3,0.49350612682816647,0.0020440101414803866
twibot20,specialist,100,f1_macro,3,0.47355264578859096,0.0007708250485027536
twibot20,specialist,100,roc_auc_ovr_macro,3,0.4659062733875274,0.0008039478213170377
twibot20,specialist,300,accuracy,3,0.5190016375854086,0.007124263610956766
twibot20,specialist,300,f1_macro,3,0.4999054342033369,0.007344295475674494
twibot20,specialist,300,roc_auc_ovr_macro,3,0.5109169120907603,0.005353773318538256
twibot20,specialist,900,accuracy,3,0.5461064995200181,0.0018660242409913896
twibot20,specialist,900,f1_macro,3,0.524789636163166,0.0006865542934331806
twibot20,specialist,900,roc_auc_ovr_macro,3,0.5457395320494346,0.001480575435325189
twibot20,specialist,2500,accuracy,3,0.5470946976113841,0.0019072217938671313
twibot20,specialist,2500,f1_macro,3,0.5334324503418423,0.00549981562271117
twibot20,specialist,2500,roc_auc_ovr_macro,3,0.5428570172612014,0.005094112775062491
ukr_rus_suspended,leave_one_out,100,accuracy,3,0.5228532265116334,0.01777596700481861
ukr_rus_suspended,leave_one_out,100,f1_macro,3,0.5103047022693236,0.007578355971473908
ukr_rus_suspended,leave_one_out,100,roc_auc_ovr_macro,3,0.51455993080393,0.010671213553287843
ukr_rus_suspended,leave_one_out,300,accuracy,3,0.5061741524572536,0.006017820150526457
ukr_rus_suspended,leave_one_out,300,f1_macro,3,0.49501166666411894,0.003667767113524483
ukr_rus_suspended,leave_one_out,300,roc_auc_ovr_macro,3,0.4842771598412703,0.0028698244938034673
ukr_rus_suspended,leave_one_out,900,accuracy,3,0.5069717702388127,0.006324920526936752
