arm,rung,metric,seed_count,mean,min,max,sd
objective,7,nm_fixed_panel,3,0.8651397304719639,0.8633127114934178,0.8680622961938305,0.0025573043828802954
objective,7,nm_included,3,0.861817693906073,0.8604781329338186,0.8641716084456796,0.002045024500801678
objective,7,nm_future_sources,3,0.8503113934363443,0.8435683255908134,0.8595880507052631,0.008304950614564797
objective,7,nm_heldout_twibot,3,0.9032223234688185,0.9028991473132166,0.9037713559194542,0.0004779594780978491
objective,7,cls_fixed_panel,3,0.7557791862958743,0.7456786544234665,0.7642386118570963,0.009388180197887027
objective,8,nm_fixed_panel,3,0.8661959630573187,0.8644865548473666,0.8679160289228496,0.0017147618778767255
objective,8,nm_included,3,0.8617056203984665,0.8599838765188195,0.8635654555826352,0.0017947782742943812
objective,8,nm_future_sources,0,,,,
objective,8,nm_heldout_twibot,3,0.9021187043281351,0.9005079814757425,0.9031275158640982,0.0014096854356837776
objective,8,cls_fixed_panel,3,0.7681652021996769,0.7639693366156683,0.7759121082447193,0.006716759993690518
schedule,1,nm_fixed_panel,3,0.8584796951648376,0.8551260724530518,0.8614973768877344,0.003198909550278539
schedule,1,nm_included,3,0.9187110698086093,0.912510108947754,0.9221465290277855,0.005380627053355957
schedule,1,nm_future_sources,3,0.8433679854928567,0.8407480534857327,0.8464029649404078,0.0028502112506633235
schedule,1,nm_heldout_twibot,3,0.9040302882249326,0.8983881687295848,0.9071790659564662,0.0048971964813332896
schedule,1,cls_fixed_panel,3,0.7741664462619356,0.7682794217710143,0.7820537990993923,0.0071017147800089536
schedule,2,nm_fixed_panel,3,0.855794359907895,0.8527278703900286,0.8575698695724799,0.002666685350186332
schedule,2,nm_included,3,0.9392436676783581,0.9372092251805054,0.9404993864311569,0.0017779477683990317
schedule,2,nm_future_sources,3,0.8195067928668641,0.8161785336289826,0.8213682428173636,0.002889103230961774
schedule,2,nm_heldout_twibot,3,0.906621146613154,0.9030611813753501,0.9089205963858245,0.0031264773299391757
schedule,2,cls_fixed_panel,3,0.7651614200921707,0.7639778561062283,0.7668678990116826,0.001514320646248446
schedule,3,nm_fixed_panel,3,0.8579121019039421,0.8556391286667278,0.859822096678489,0.002114975264660268
schedule,3,nm_included,3,0.9125709883402439,0.9108121078133126,0.9139761887747667,0.0016114184088819664
schedule,3,nm_future_sources,3,0.8153450620220082,0.8125311295191446,0.8183446344836005,0.0029111950533493745
schedule,3,nm_heldout_twibot,3,0.9067706420047074,0.90566018696489,0.9079016923904419,0.0011208946290351054
schedule,3,cls_fixed_panel,3,0.7629560023178289,0.7582683139377171,0.7686261918809679,0.005248370252069475
schedule,4,nm_fixed_panel,3,0.8547193828924202,0.8517337796331822,0.8570201727774561,0.002708914014336984
schedule,4,nm_included,3,0.8915418688479054,0.8871383256953338,0.8938284057652814,0.0038145221700064853
schedule,4,nm_future_sources,3,0.8057578163128704,0.8038264313648489,0.8080016718513664,0.002105085908578888
schedule,4,nm_heldout_twibot,3,0.9032757053886793,0.9017449884579098,0.9058612445305132,0.0022517500830525777
schedule,4,cls_fixed_panel,3,0.7586892069121937,0.7574957953559028,0.7610643598768446,0.002056951081626755
schedule,5,nm_fixed_panel,3,0.8498813297861229,0.8488843358491726,0.8511833293684598,0.0011794550153436988
