model,order,rung,training_seed,target,roc_auc,fingerprint
PRODIGY,A,7,0,facebook_page_reference,0.7761688232421875,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,7,0,twibot20,0.6445257398817275,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,7,0,ukr_rus_suspended,0.4803466796875,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,7,1,covid_political,0.920493797019676,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,7,1,election2020,0.99078369140625,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,7,1,facebook_page_reference,0.7511558532714844,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,7,1,twibot20,0.6067362891303169,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,7,1,ukr_rus_suspended,0.521240234375,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,7,2,covid_political,0.9260550604926214,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,7,2,election2020,0.98773193359375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,7,2,facebook_page_reference,0.7787704467773438,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,7,2,twibot20,0.6010964711507161,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,7,2,ukr_rus_suspended,0.50177001953125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,8,0,covid_political,0.9289030852141203,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,8,0,election2020,0.98931884765625,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,8,0,facebook_page_reference,0.7462615966796875,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,8,0,twibot20,0.6213552686903212,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,8,0,ukr_rus_suspended,0.45001220703125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,8,1,covid_political,0.9282859519675926,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,8,1,election2020,0.99267578125,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,8,1,facebook_page_reference,0.7365951538085938,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,8,1,twibot20,0.6468113793267145,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,8,1,ukr_rus_suspended,0.487548828125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,8,2,covid_political,0.9188396312572336,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,8,2,election2020,0.9903564453125,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,8,2,facebook_page_reference,0.7307586669921875,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,8,2,twibot20,0.6299256218804253,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,8,2,ukr_rus_suspended,0.4859619140625,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,9,0,covid_political,0.921219719780816,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,9,0,election2020,0.9921875,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,9,0,facebook_page_reference,0.7694511413574219,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,9,0,twibot20,0.6129188537597656,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,9,0,ukr_rus_suspended,0.4967041015625,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,9,1,covid_political,0.9403062043366608,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,9,1,election2020,0.9896240234375,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,9,1,facebook_page_reference,0.7831001281738281,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,9,1,twibot20,0.6322689056396484,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,9,1,ukr_rus_suspended,0.47894287109375,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,A,9,2,covid_political,0.918902079264323,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,A,9,2,election2020,0.992919921875,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,A,9,2,facebook_page_reference,0.7877769470214844,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,A,9,2,twibot20,0.6237157185872395,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,A,9,2,ukr_rus_suspended,0.4776611328125,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,1,0,covid_political,0.6844465467664931,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,1,0,election2020,0.97235107421875,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,1,0,facebook_page_reference,0.6333580017089844,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,1,0,twibot20,0.6220953199598525,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,1,0,ukr_rus_suspended,0.47119140625,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
PRODIGY,B,1,1,covid_political,0.7260612205222801,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750
PRODIGY,B,1,1,election2020,0.97344970703125,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef
PRODIGY,B,1,1,facebook_page_reference,0.6451835632324219,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe
PRODIGY,B,1,1,twibot20,0.6164332495795356,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d
PRODIGY,B,1,1,ukr_rus_suspended,0.48529052734375,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347
