source,target,roc_auc,sample_std,seeds,model,objective,checkpoint_step,protocol,available
ukr_rus,covid_political,0.7298267505787037,0.0173437314108894,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus,election2020,0.6558159722222222,0.0365692550410231,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus,facebook_page_reference,0.7270908373576522,0.0062312137618111,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus,twibot20,0.6821469907407408,0.006069138657023,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus,ukr_rus_suspended,0.5230396412037037,0.0020852915661746,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid_political,covid_political,0.7474320023148149,0.0122190013327792,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid_political,election2020,0.6640534577546297,0.0236423213435905,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid_political,facebook_page_reference,0.7236529029141391,0.0050334902530748,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid_political,twibot20,0.6922743055555555,0.0042668381279031,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid_political,ukr_rus_suspended,0.5205530237268517,0.0025580286814811,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
election2020,covid_political,0.7361020688657408,0.022955059126335,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
election2020,election2020,0.6571180555555555,0.0647582634958259,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
election2020,facebook_page_reference,0.7267861864423691,0.0040740419810307,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
election2020,twibot20,0.6770562065972223,0.0218646877949266,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
election2020,ukr_rus_suspended,0.5156702112268517,0.0035793246030854,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
facebook_page_reference,covid_political,0.8169307002314815,0.0073585657268046,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
facebook_page_reference,election2020,0.7835015190972223,0.0406630860097412,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
facebook_page_reference,facebook_page_reference,0.7193306472667892,0.0055361339817878,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
facebook_page_reference,twibot20,0.6711606626157408,0.0100367579484555,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
facebook_page_reference,ukr_rus_suspended,0.5273527922453703,0.0026785963589186,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
twibot20,covid_political,0.736355251736111,0.0190687062996661,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
twibot20,election2020,0.6500470196759259,0.0275577911794033,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
twibot20,facebook_page_reference,0.7301548177914805,0.003188127056632,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
twibot20,twibot20,0.6917136863425926,0.0105001962326823,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
twibot20,ukr_rus_suspended,0.5199200665509259,0.0020358309723608,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus_suspended,covid_political,0.7981951678240741,0.021139392796464,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus_suspended,election2020,0.7681929976851851,0.0373649430912946,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus_suspended,facebook_page_reference,0.7088080304285068,0.0160624984060569,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus_suspended,twibot20,0.6872920283564814,0.0172864651406706,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
ukr_rus_suspended,ukr_rus_suspended,0.5287181712962963,0.0013195793276249,3,SAMGPT,GraphCL,500,fixed downstream label-classification evaluation,True
covid,covid_political,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
covid,election2020,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
covid,facebook_page_reference,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
covid,twibot20,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
covid,ukr_rus_suspended,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
cp_hk,covid_political,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
cp_hk,election2020,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
cp_hk,facebook_page_reference,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
cp_hk,twibot20,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
cp_hk,ukr_rus_suspended,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
midterm,covid_political,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
midterm,election2020,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
midterm,facebook_page_reference,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
midterm,twibot20,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
midterm,ukr_rus_suspended,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
ukr_rus,covid_political,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
ukr_rus,election2020,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
ukr_rus,facebook_page_reference,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
ukr_rus,twibot20,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
ukr_rus,ukr_rus_suspended,,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,False
covid_political,covid_political,0.899720622047348,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
covid_political,election2020,0.9809486587425996,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
covid_political,facebook_page_reference,0.78565735133688,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
covid_political,twibot20,0.5063190870023069,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
covid_political,ukr_rus_suspended,0.4961418026138904,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
election2020,covid_political,0.8356184642423109,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
election2020,election2020,0.9708144607659404,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
election2020,facebook_page_reference,0.7205361469716809,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
election2020,twibot20,0.5477169896051967,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
election2020,ukr_rus_suspended,0.4950506407426224,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
facebook_page_reference,covid_political,0.9101062047019448,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
facebook_page_reference,election2020,0.9647956000592212,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
facebook_page_reference,facebook_page_reference,0.7609194315466082,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
facebook_page_reference,twibot20,0.5453197736576133,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
facebook_page_reference,ukr_rus_suspended,0.4990045364107277,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
twibot20,covid_political,0.9257456143507128,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
twibot20,election2020,0.9828719913566252,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
twibot20,facebook_page_reference,0.7885506981998598,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
twibot20,twibot20,0.5375475236106281,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
twibot20,ukr_rus_suspended,0.5008341941072574,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
ukr_rus_suspended,covid_political,0.9032284672848268,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
ukr_rus_suspended,election2020,0.9739267452574244,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
ukr_rus_suspended,facebook_page_reference,0.7812355547404697,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
ukr_rus_suspended,twibot20,0.5366173561906702,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
ukr_rus_suspended,ukr_rus_suspended,0.5112948218336391,,1,GraphSAGE,edge negative sampling,2500,fixed 10-labels/class linear probe,True
