target,rung,seed,method,reference,target_supported_at_0_55,delta_accuracy,delta_roc_auc,delta_nll
covid_political,2,1,trace_support_loo_u1,discovery_auc_fixed,True,0.02180989583333326,0.002638075086805469,-0.025376505315949427
covid_political,2,2,trace_support_loo_u1,discovery_auc_fixed,True,0.03190104166666663,-0.000388816550925819,-0.022477979664322856
covid_political,3,0,trace_support_loo_u1,discovery_auc_fixed,True,0.025390625,-0.0037813539858215783,0.0038226656189044306
covid_political,3,1,trace_support_loo_u1,discovery_auc_fixed,True,0.025390625,-0.005779690212673549,0.03364249555407184
covid_political,3,2,trace_support_loo_u1,discovery_auc_fixed,True,0.02734375,-0.00196951406973378,-0.0434918781904825
covid_political,4,0,trace_support_loo_u1,discovery_auc_fixed,True,0.00944010416666663,-0.00631148726851849,0.052617497954762504
covid_political,4,1,trace_support_loo_u1,discovery_auc_fixed,True,0.03450520833333337,-0.004868118851273029,-0.041195127244067875
covid_political,4,2,trace_support_loo_u1,discovery_auc_fixed,True,0.01920572916666663,-0.007240577980323959,-0.02043293628310766
facebook_page_reference,2,0,trace_support_loo_u1,discovery_auc_fixed,True,0.013671875,0.00667572021484375,0.1197647428976707
facebook_page_reference,2,1,trace_support_loo_u1,discovery_auc_fixed,True,0.0068359375,-0.014263153076171875,0.01364273754655232
facebook_page_reference,2,2,trace_support_loo_u1,discovery_auc_fixed,True,0.0224609375,0.00104522705078125,0.0126847132328205
facebook_page_reference,3,0,trace_support_loo_u1,discovery_auc_fixed,True,0.015625,-0.002346038818359375,0.0761277588358984
facebook_page_reference,3,1,trace_support_loo_u1,discovery_auc_fixed,True,0.0146484375,-0.00693511962890625,0.04014804019242613
facebook_page_reference,3,2,trace_support_loo_u1,discovery_auc_fixed,True,0.01171875,0.0044040679931640625,0.015603519169575586
facebook_page_reference,4,0,trace_support_loo_u1,discovery_auc_fixed,True,0.0283203125,-0.007030487060546875,0.09159988403106789
facebook_page_reference,4,1,trace_support_loo_u1,discovery_auc_fixed,True,0.0380859375,0.020917892456054688,0.11089179074680733
facebook_page_reference,4,2,trace_support_loo_u1,discovery_auc_fixed,True,0.02734375,0.013233184814453125,0.10507197349032904
