dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r3,hard_2hop,encoder_cosine,0.6675727040816326,0.6204042167925361,0.84,-1,2800,1400,0.512238375,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r4,degree_matched,encoder_cosine,0.8692066326530612,0.8718951625256273,0.94,1,2800,1400,0.501038875,0.9995,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r4,random,encoder_cosine,0.86545,0.8707728502053739,0.94,1,2800,1400,0.49833525,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r4,hard_2hop,encoder_cosine,0.650288775510204,0.6161163512655609,0.82,-1,2800,1400,0.50767425,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r5,degree_matched,encoder_cosine,0.8691239795918367,0.8711425934868063,0.96,1,2800,1400,0.50873525,0.9995,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r5,random,encoder_cosine,0.8554744897959183,0.8585390681128019,0.96,1,2800,1400,0.50908975,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r5,hard_2hop,encoder_cosine,0.6409602040816327,0.6169700228062822,0.76,-1,2800,1400,0.51036175,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r6,degree_matched,encoder_cosine,0.8609270408163265,0.8632245932990192,0.96,1,2800,1400,0.504047375,0.9995,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r6,random,encoder_cosine,0.8617831632653061,0.8726004681544712,0.96,1,2800,1400,0.507353625,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r6,hard_2hop,encoder_cosine,0.6635755102040817,0.63394851119815,0.9,-1,2800,1400,0.510426625,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r7,degree_matched,encoder_cosine,0.8553239795918367,0.8584398332175176,0.98,1,2800,1400,0.511677,0.9995,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r7,random,encoder_cosine,0.8564474489795918,0.8589608902942208,0.92,1,2800,1400,0.50469925,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r7,hard_2hop,encoder_cosine,0.6689739795918367,0.6404984932448637,0.86,-1,2800,1400,0.51067525,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r8,degree_matched,encoder_cosine,0.842634693877551,0.8505268191997442,0.98,1,2800,1400,0.50744575,0.9995,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r8,random,encoder_cosine,0.8343877551020408,0.8436184964411912,1.0,1,2800,1400,0.509399,0.99975,0.0
covid19_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r8,hard_2hop,encoder_cosine,0.669695918367347,0.6494519149788331,0.8,-1,2800,1400,0.50488575,0.99975,0.0
