dataset,model,negative_kind,scorer,auc,average_precision,hits_at_50,orientation,n_pairs,n_positive,endpoint_permutation_auc,endpoint_sensitivity,leakage_edges
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r7,random,encoder_cosine,0.7001892857142857,0.6286855906935275,0.44,1,2800,1400,0.5177985,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r7,hard_2hop,encoder_cosine,0.7947872448979592,0.7427348502208939,0.96,-1,2800,1400,0.510318,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r8,degree_matched,encoder_cosine,0.5583525510204081,0.5119562915232537,0.3,1,2800,1400,0.499918625,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r8,random,encoder_cosine,0.7343334183673469,0.6719763937350225,0.4,1,2800,1400,0.513838375,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordA_r8,hard_2hop,encoder_cosine,0.7109341836734694,0.6714221360674758,0.94,-1,2800,1400,0.510406875,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r1,degree_matched,encoder_cosine,0.4578464285714286,0.4539769344875635,0.22,1,2800,1400,0.50188,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r1,random,encoder_cosine,0.5442265306122449,0.5119526845223215,0.3,-1,2800,1400,0.5034465,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r1,hard_2hop,encoder_cosine,0.819461224489796,0.7546200670992674,0.7,-1,2800,1400,0.495255,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r2,degree_matched,encoder_cosine,0.49844770408163264,0.49104659581602,0.42,1,2800,1400,0.503733375,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r2,random,encoder_cosine,0.5588283163265306,0.5425454118950943,0.26,1,2800,1400,0.50614575,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r2,hard_2hop,encoder_cosine,0.6304533163265306,0.6239078582499717,0.86,-1,2800,1400,0.508809625,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r3,degree_matched,encoder_cosine,0.5730173469387755,0.5492553454302186,0.46,1,2800,1400,0.496990125,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r3,random,encoder_cosine,0.558281887755102,0.5134646692057744,0.24,1,2800,1400,0.510482125,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r3,hard_2hop,encoder_cosine,0.6828270408163265,0.6533665507246131,0.9,-1,2800,1400,0.509504,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r4,degree_matched,encoder_cosine,0.5439530612244898,0.5172412304878508,0.42,1,2800,1400,0.499697375,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r4,random,encoder_cosine,0.5639706632653061,0.5278603591620153,0.26,1,2800,1400,0.511464875,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r4,hard_2hop,encoder_cosine,0.7264438775510204,0.7008058406965204,0.94,-1,2800,1400,0.5101985,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r5,degree_matched,encoder_cosine,0.5507130102040816,0.5198939124916788,0.36,1,2800,1400,0.50331,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r5,random,encoder_cosine,0.5303517857142858,0.48800751545641285,0.14,1,2800,1400,0.510994875,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r5,hard_2hop,encoder_cosine,0.7593727040816326,0.7317189344098464,0.92,-1,2800,1400,0.508157375,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r6,degree_matched,encoder_cosine,0.556034693877551,0.5211363648101593,0.38,1,2800,1400,0.4999755,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r6,random,encoder_cosine,0.6512084183673469,0.5936938319901848,0.38,1,2800,1400,0.515980375,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r6,hard_2hop,encoder_cosine,0.7272716836734694,0.7013005849662788,0.94,-1,2800,1400,0.511157875,0.9997496871088861,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r7,degree_matched,encoder_cosine,0.5554859693877551,0.5159575731654011,0.36,1,2800,1400,0.499252625,0.9994988724630418,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r7,random,encoder_cosine,0.6813025510204082,0.6184551969093988,0.38,1,2800,1400,0.5146375,0.9987487487487487,0.0
cp_hk_twitter,fixed10k__nm_ladder_fx10k_h2m_ordC_r7,hard_2hop,encoder_cosine,0.723930612244898,0.6966796873179332,0.98,-1,2800,1400,0.510880125,0.9997496871088861,0.0
