auxiliary_loss_active,auxiliary_parameters,frozen_label_parameters,initialization_seconds,job_seconds,loop_seconds,model_id,model_parameters,optimizer_parameter_slots,peak_allocated_bytes,physical_gpu,selected_step,stop_reason,training_and_cache_seconds,training_steps,validation_inference_seconds
False,263168,256000,1.2169184684753418,575.0781674385071,558.4728906154633,nmi_coverage_r5_s0,1640514,1647682,497935872,3,8000,cap,573.8612489700317,10000,17.779088735580444
False,263168,256000,1.2678048610687256,378.0928542613983,361.6316514015198,nmi_budget_r5_s0,1640514,1647682,492000256,3,4000,validation_plateau,376.8250494003296,6250,14.196526050567627
False,263168,256000,1.3164610862731934,555.3756992816925,535.4501540660858,nmi_baseline_r6_s0,1640514,1647682,495768064,2,10000,cap,554.0592381954193,10000,18.509642362594604
False,263168,256000,1.2492289543151855,455.97015476226807,437.00758957862854,nmi_exposure_r6_s0,1640514,1647682,488645120,2,8000,validation_plateau,454.7209258079529,8000,15.801306962966919
False,263168,256000,1.2323694229125977,586.7414970397949,568.0510807037354,nmi_schedule_r6_s0,1640514,1647682,491384320,1,4000,validation_plateau,585.5091276168823,8000,18.166497707366943
False,263168,256000,1.2935638427734375,554.4746561050415,535.5311937332153,nmi_composition_r6_s0,1640514,1647682,458345472,2,10000,cap,553.1810922622681,10000,20.37470841407776
False,263168,256000,1.1826202869415283,694.0748054981232,675.6460018157959,nmi_centers_r6_s0,1640514,1647682,504141824,3,6000,validation_plateau,692.8921852111816,10000,26.73559880256653
False,263168,256000,1.2330989837646484,710.8572342395782,691.7940452098846,nmi_eligibility_r6_s0,1640514,1647682,491420672,3,10000,cap,709.6241352558136,10000,30.48274278640747
False,263168,256000,1.3916034698486328,729.4784421920776,710.0800604820251,nmi_positives_r6_s0,1640514,1647682,490516480,3,10000,cap,728.086838722229,10000,26.133486032485962
False,263168,256000,1.3063063621520996,563.1016578674316,542.6312828063965,nmi_negatives_r6_s0,1640514,1647682,506157056,1,8000,cap,561.7953515052795,10000,19.928510665893555
False,263168,256000,2.115788221359253,573.6416938304901,553.6677243709564,nmi_context_r6_s0,1640514,1647682,511279616,2,10000,cap,571.5259056091309,10000,21.76384925842285
False,263168,256000,1.2387549877166748,551.7419867515564,532.9908096790314,nmi_optimization_r6_s0,1640514,1647682,499995648,2,10000,cap,550.5032317638397,10000,18.089775323867798
False,263168,256000,1.5410668849945068,449.25651240348816,430.36968779563904,nmi_alignment_r6_s0,1640514,1647682,495768064,1,8000,validation_plateau,447.71544551849365,8000,13.74539065361023
False,263168,256000,1.3188865184783936,645.6947150230408,626.7270138263702,nmi_sharing_r6_s0,1654338,1661506,555753472,3,4000,validation_plateau,644.3758285045624,8000,18.162283897399902
False,656640,512000,1.2998201847076416,548.1079173088074,529.013102054596,nmi_capacity_r6_s0,4860034,5004674,804800000,2,10000,cap,546.8080971240997,10000,16.3726487159729
True,263168,256000,1.2799208164215088,552.4341359138489,532.8707931041718,nmi_objective_r6_s0,1640514,1647682,557713408,1,10000,cap,551.1542150974274,10000,18.90754270553589
False,263168,256000,1.2325499057769775,456.4974789619446,437.09117603302,nmi_region_adaptive_r6_s0,1640514,1647682,504153088,1,6000,validation_plateau,455.2649290561676,8000,14.56275200843811
False,263168,256000,1.3001153469085693,542.3891382217407,522.7109642028809,nmi_coverage_r6_s0,1640514,1647682,497824768,2,8000,cap,541.0890228748322,10000,19.577175617218018
False,263168,256000,1.274125576019287,467.46977615356445,448.7207396030426,nmi_budget_r6_s0,1640514,1647682,495768064,3,6000,cap,466.19565057754517,7500,15.905782222747803
False,263168,256000,1.1936311721801758,531.9628267288208,510.5861418247223,nmi_baseline_r7_s0,1640514,1647682,491116544,1,8000,cap,530.7691955566406,10000,20.134430170059204
False,263168,256000,1.395993947982788,550.1224393844604,528.4903373718262,nmi_exposure_r7_s0,1640514,1647682,486925312,1,8000,cap,548.7264454364777,10000,26.229029178619385
False,263168,256000,1.3828186988830566,615.004597902298,592.873791217804,nmi_schedule_r7_s0,1640514,1647682,490810368,3,10000,cap,613.6217792034149,10000,21.774641036987305
False,263168,256000,1.44838285446167,530.244083404541,507.61359119415283,nmi_composition_r7_s0,1640514,1647682,466523136,2,10000,cap,528.7957005500793,10000,22.061659336090088
False,263168,256000,1.5758185386657715,547.8368861675262,525.55220246315,nmi_centers_r7_s0,1640514,1647682,505506304,2,8000,cap,546.2610676288605,10000,25.181062698364258
False,263168,256000,1.324150562286377,511.54740953445435,490.34008026123047,nmi_eligibility_r7_s0,1640514,1647682,491101696,1,10000,cap,510.22325897216797,10000,20.11342477798462
False,263168,256000,1.21323561668396,523.7980852127075,502.4811809062958,nmi_positives_r7_s0,1640514,1647682,490638336,2,8000,cap,522.5848495960236,10000,21.22543954849243
False,263168,256000,1.320882797241211,620.8856813907623,599.4712445735931,nmi_negatives_r7_s0,1640514,1647682,507019776,3,10000,cap,619.5647985935211,10000,24.756545305252075
False,263168,256000,1.4054200649261475,533.597950220108,511.78778433799744,nmi_context_r7_s0,1640514,1647682,513566208,3,4000,validation_plateau,532.1925301551819,8000,22.570051908493042
False,263168,256000,1.2184934616088867,539.0890002250671,517.3309557437897,nmi_optimization_r7_s0,1640514,1647682,495344128,1,8000,cap,537.8705067634583,10000,21.443807125091553
False,263168,256000,1.2175133228302002,554.831161737442,533.4391753673553,nmi_alignment_r7_s0,1640514,1647682,491116544,2,8000,cap,553.6136484146118,10000,26.221476554870605
False,263168,256000,1.255253791809082,559.463791847229,538.2863681316376,nmi_sharing_r7_s0,1654338,1661506,550435840,3,4000,validation_plateau,558.2085380554199,8000,14.58762812614441
False,656640,512000,1.1995766162872314,519.2636427879333,497.9405589103699,nmi_capacity_r7_s0,4860034,5004674,805015552,1,10000,cap,518.0640661716461,10000,19.73927879333496
True,263168,256000,1.232438564300537,517.8409397602081,496.21358251571655,nmi_objective_r7_s0,1640514,1647682,553137664,2,8000,cap,516.6085011959076,10000,22.15328288078308
False,263168,256000,1.2120640277862549,529.4079995155334,507.69479179382324,nmi_region_adaptive_r7_s0,1640514,1647682,504855552,1,6000,validation_plateau,528.1959354877472,10000,23.12355637550354
False,263168,256000,1.5125744342803955,416.9416480064392,394.3947513103485,nmi_coverage_r7_s0,1640514,1647682,493371904,1,6000,validation_plateau,415.4290735721588,8000,19.10359263420105
False,263168,256000,1.2089483737945557,435.23887848854065,413.8029749393463,nmi_budget_r7_s0,1640514,1647682,490862592,2,8000,cap,434.0299301147461,8750,18.267953634262085
