consumed_episodes,exposure_episodes,model_id,source,training_steps
10000,0.0,nmi_alignment_r1_s0,covid,10000
10000,0.0,nmi_alignment_r1_s0,midterm,10000
10000,0.0,nmi_alignment_r1_s0,covid_political,10000
10000,0.0,nmi_alignment_r1_s0,election2020,10000
10000,0.0,nmi_alignment_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_alignment_r1_s0,twibot20,10000
10000,0.0,nmi_alignment_r1_s0,cp_hk,10000
10000,0.0,nmi_alignment_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_sharing_r1_s0,ukr_rus,10000
10000,0.0,nmi_sharing_r1_s0,covid,10000
10000,0.0,nmi_sharing_r1_s0,midterm,10000
10000,0.0,nmi_sharing_r1_s0,covid_political,10000
10000,0.0,nmi_sharing_r1_s0,election2020,10000
10000,0.0,nmi_sharing_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_sharing_r1_s0,twibot20,10000
10000,0.0,nmi_sharing_r1_s0,cp_hk,10000
10000,0.0,nmi_sharing_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_capacity_r1_s0,ukr_rus,10000
10000,0.0,nmi_capacity_r1_s0,covid,10000
10000,0.0,nmi_capacity_r1_s0,midterm,10000
10000,0.0,nmi_capacity_r1_s0,covid_political,10000
10000,0.0,nmi_capacity_r1_s0,election2020,10000
10000,0.0,nmi_capacity_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_capacity_r1_s0,twibot20,10000
10000,0.0,nmi_capacity_r1_s0,cp_hk,10000
10000,0.0,nmi_capacity_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_objective_r1_s0,ukr_rus,10000
10000,0.0,nmi_objective_r1_s0,covid,10000
10000,0.0,nmi_objective_r1_s0,midterm,10000
10000,0.0,nmi_objective_r1_s0,covid_political,10000
10000,0.0,nmi_objective_r1_s0,election2020,10000
10000,0.0,nmi_objective_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_objective_r1_s0,twibot20,10000
10000,0.0,nmi_objective_r1_s0,cp_hk,10000
10000,0.0,nmi_objective_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_region_adaptive_r1_s0,ukr_rus,10000
10000,0.0,nmi_region_adaptive_r1_s0,covid,10000
10000,0.0,nmi_region_adaptive_r1_s0,midterm,10000
10000,0.0,nmi_region_adaptive_r1_s0,covid_political,10000
10000,0.0,nmi_region_adaptive_r1_s0,election2020,10000
10000,0.0,nmi_region_adaptive_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_region_adaptive_r1_s0,twibot20,10000
10000,0.0,nmi_region_adaptive_r1_s0,cp_hk,10000
10000,0.0,nmi_region_adaptive_r1_s0,facebook_page_reference,10000
10000,10000.0,nmi_coverage_r1_s0,ukr_rus,10000
10000,0.0,nmi_coverage_r1_s0,covid,10000
10000,0.0,nmi_coverage_r1_s0,midterm,10000
10000,0.0,nmi_coverage_r1_s0,covid_political,10000
10000,0.0,nmi_coverage_r1_s0,election2020,10000
10000,0.0,nmi_coverage_r1_s0,ukr_rus_suspended,10000
10000,0.0,nmi_coverage_r1_s0,twibot20,10000
10000,0.0,nmi_coverage_r1_s0,cp_hk,10000
10000,0.0,nmi_coverage_r1_s0,facebook_page_reference,10000
1250,1250.0,nmi_budget_r1_s0,ukr_rus,1250
1250,0.0,nmi_budget_r1_s0,covid,1250
1250,0.0,nmi_budget_r1_s0,midterm,1250
1250,0.0,nmi_budget_r1_s0,covid_political,1250
1250,0.0,nmi_budget_r1_s0,election2020,1250
1250,0.0,nmi_budget_r1_s0,ukr_rus_suspended,1250
1250,0.0,nmi_budget_r1_s0,twibot20,1250
1250,0.0,nmi_budget_r1_s0,cp_hk,1250
1250,0.0,nmi_budget_r1_s0,facebook_page_reference,1250
10000,4894.0,nmi_baseline_r2_s0,ukr_rus,10000
10000,5106.0,nmi_baseline_r2_s0,covid,10000
10000,0.0,nmi_baseline_r2_s0,midterm,10000
10000,0.0,nmi_baseline_r2_s0,covid_political,10000
10000,0.0,nmi_baseline_r2_s0,election2020,10000
10000,0.0,nmi_baseline_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_baseline_r2_s0,twibot20,10000
10000,0.0,nmi_baseline_r2_s0,cp_hk,10000
10000,0.0,nmi_baseline_r2_s0,facebook_page_reference,10000
10000,3070.0,nmi_exposure_r2_s0,ukr_rus,10000
10000,6930.0,nmi_exposure_r2_s0,covid,10000
10000,0.0,nmi_exposure_r2_s0,midterm,10000
10000,0.0,nmi_exposure_r2_s0,covid_political,10000
10000,0.0,nmi_exposure_r2_s0,election2020,10000
10000,0.0,nmi_exposure_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_exposure_r2_s0,twibot20,10000
10000,0.0,nmi_exposure_r2_s0,cp_hk,10000
10000,0.0,nmi_exposure_r2_s0,facebook_page_reference,10000
10000,5008.0,nmi_schedule_r2_s0,ukr_rus,10000
10000,4992.0,nmi_schedule_r2_s0,covid,10000
10000,0.0,nmi_schedule_r2_s0,midterm,10000
10000,0.0,nmi_schedule_r2_s0,covid_political,10000
10000,0.0,nmi_schedule_r2_s0,election2020,10000
10000,0.0,nmi_schedule_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_schedule_r2_s0,twibot20,10000
10000,0.0,nmi_schedule_r2_s0,cp_hk,10000
10000,0.0,nmi_schedule_r2_s0,facebook_page_reference,10000
10000,4997.20000000001,nmi_composition_r2_s0,ukr_rus,10000
10000,5002.79999999999,nmi_composition_r2_s0,covid,10000
10000,0.0,nmi_composition_r2_s0,midterm,10000
10000,0.0,nmi_composition_r2_s0,covid_political,10000
10000,0.0,nmi_composition_r2_s0,election2020,10000
10000,0.0,nmi_composition_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_composition_r2_s0,twibot20,10000
10000,0.0,nmi_composition_r2_s0,cp_hk,10000
10000,0.0,nmi_composition_r2_s0,facebook_page_reference,10000
10000,4947.0,nmi_centers_r2_s0,ukr_rus,10000
10000,5053.0,nmi_centers_r2_s0,covid,10000
10000,0.0,nmi_centers_r2_s0,midterm,10000
10000,0.0,nmi_centers_r2_s0,covid_political,10000
10000,0.0,nmi_centers_r2_s0,election2020,10000
10000,0.0,nmi_centers_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_centers_r2_s0,twibot20,10000
10000,0.0,nmi_centers_r2_s0,cp_hk,10000
10000,0.0,nmi_centers_r2_s0,facebook_page_reference,10000
10000,5029.0,nmi_eligibility_r2_s0,ukr_rus,10000
10000,4971.0,nmi_eligibility_r2_s0,covid,10000
10000,0.0,nmi_eligibility_r2_s0,midterm,10000
10000,0.0,nmi_eligibility_r2_s0,covid_political,10000
10000,0.0,nmi_eligibility_r2_s0,election2020,10000
10000,0.0,nmi_eligibility_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_eligibility_r2_s0,twibot20,10000
10000,0.0,nmi_eligibility_r2_s0,cp_hk,10000
10000,0.0,nmi_eligibility_r2_s0,facebook_page_reference,10000
10000,4979.0,nmi_positives_r2_s0,ukr_rus,10000
10000,5021.0,nmi_positives_r2_s0,covid,10000
10000,0.0,nmi_positives_r2_s0,midterm,10000
10000,0.0,nmi_positives_r2_s0,covid_political,10000
10000,0.0,nmi_positives_r2_s0,election2020,10000
10000,0.0,nmi_positives_r2_s0,ukr_rus_suspended,10000
10000,0.0,nmi_positives_r2_s0,twibot20,10000
