episodes,loss,model_id,seconds,step
2100,1.995820962190628,nmi_budget_r8_s0,114.5448260307312,2100
2200,2.0516453647613524,nmi_budget_r8_s0,119.62154507637024,2200
2300,1.9781629806756973,nmi_budget_r8_s0,124.57472133636475,2300
2400,2.048425558805466,nmi_budget_r8_s0,129.6881501674652,2400
2500,2.0220459216833113,nmi_budget_r8_s0,134.82771348953247,2500
2600,2.05892726123333,nmi_budget_r8_s0,139.84317684173584,2600
2700,2.0410960882902147,nmi_budget_r8_s0,145.04667043685913,2700
2800,2.0454448825120926,nmi_budget_r8_s0,150.12446928024292,2800
2900,2.1019999766349793,nmi_budget_r8_s0,155.06116104125977,2900
3000,2.0744986179471017,nmi_budget_r8_s0,159.97858929634094,3000
3100,1.916745297908783,nmi_budget_r8_s0,164.80063247680664,3100
3200,2.0581267184019088,nmi_budget_r8_s0,169.46738934516907,3200
3300,1.8853589826822281,nmi_budget_r8_s0,174.19612979888916,3300
3400,1.9964870524406433,nmi_budget_r8_s0,179.06836605072021,3400
3500,1.9000398901104927,nmi_budget_r8_s0,183.75995635986328,3500
3600,2.001284513473511,nmi_budget_r8_s0,188.47684979438782,3600
3700,1.9997816115617753,nmi_budget_r8_s0,193.12514662742615,3700
3800,2.036551747918129,nmi_budget_r8_s0,198.01132988929749,3800
3900,1.9375821709632874,nmi_budget_r8_s0,202.77611255645752,3900
4000,1.9370563799142837,nmi_budget_r8_s0,207.63715624809265,4000
4100,1.9361242485046386,nmi_budget_r8_s0,217.0736951828003,4100
4200,2.0495055216550826,nmi_budget_r8_s0,222.15534734725952,4200
4300,1.9513004577159883,nmi_budget_r8_s0,227.0263421535492,4300
4400,1.8903887790441514,nmi_budget_r8_s0,231.91877794265747,4400
4500,2.0458143764734267,nmi_budget_r8_s0,236.76302671432495,4500
4600,1.8687687999010085,nmi_budget_r8_s0,241.36974787712097,4600
4700,1.9615240806341172,nmi_budget_r8_s0,245.99151802062988,4700
4800,1.855758272409439,nmi_budget_r8_s0,250.96963620185852,4800
4900,1.9456887882947922,nmi_budget_r8_s0,255.73661351203918,4900
5000,2.0265667027235033,nmi_budget_r8_s0,260.49174094200134,5000
5100,1.953993108868599,nmi_budget_r8_s0,264.9669544696808,5100
5200,1.8709201616048814,nmi_budget_r8_s0,269.61205863952637,5200
5300,1.8332581734657287,nmi_budget_r8_s0,274.46149826049805,5300
5400,1.9235540425777435,nmi_budget_r8_s0,279.2001328468323,5400
5500,1.865352190732956,nmi_budget_r8_s0,284.00570464134216,5500
5600,1.8023248052597045,nmi_budget_r8_s0,288.741406917572,5600
5700,1.9409056997299194,nmi_budget_r8_s0,293.3715500831604,5700
5800,1.9255319872498513,nmi_budget_r8_s0,298.0167398452759,5800
5900,1.8885291999578475,nmi_budget_r8_s0,302.7143335342407,5900
6000,1.8969288370013238,nmi_budget_r8_s0,307.3625576496124,6000
6100,1.8806640791893006,nmi_budget_r8_s0,316.2879059314728,6100
6200,1.9671517598628998,nmi_budget_r8_s0,321.22352957725525,6200
6300,1.8619802421331406,nmi_budget_r8_s0,325.9711182117462,6300
6400,1.906354249715805,nmi_budget_r8_s0,330.84313917160034,6400
6500,1.8074406546354294,nmi_budget_r8_s0,335.68505024909973,6500
6600,1.9465439110994338,nmi_budget_r8_s0,340.27445697784424,6600
