arm,rung,role,roc_auc,target_count,expected_targets,complete_panel
region_adaptive,3,included,0.9034662486949642,3,3,True
region_adaptive,3,not_yet_included,0.8012622781457571,5,5,True
region_adaptive,3,unseen,0.8955965047595146,1,1,True
region_adaptive,4,included,,1,4,False
region_adaptive,4,unseen,0.89399769566525,1,1,True
region_adaptive,5,included,,1,5,False
region_adaptive,5,unseen,0.8944669927673777,1,1,True
region_adaptive,6,unseen,0.8945014801518669,1,1,True
region_adaptive,7,unseen,0.8925688579164703,1,1,True
region_adaptive,8,included,0.8549654727352076,8,8,True
region_adaptive,8,unseen,0.8923192575060089,1,1,True
schedule,1,included,0.9292316608045292,1,1,True
schedule,1,not_yet_included,0.8425785994099083,7,7,True
schedule,1,unseen,0.8942318195584177,1,1,True
schedule,2,included,0.9421053927520227,2,2,True
schedule,2,not_yet_included,0.8171030507918976,6,6,True
schedule,2,unseen,0.8999629009729143,1,1,True
schedule,3,included,0.9102441086622944,3,3,True
schedule,3,not_yet_included,0.8140583387462572,5,5,True
schedule,3,unseen,0.9030747191659336,1,1,True
schedule,4,included,,1,4,False
schedule,4,unseen,0.8980361820637496,1,1,True
schedule,5,included,,1,5,False
schedule,5,unseen,0.8927010185417088,1,1,True
schedule,6,included,,1,6,False
schedule,6,unseen,0.8905250086181465,1,1,True
schedule,7,unseen,0.896572677157391,1,1,True
schedule,8,included,0.853188459814965,8,8,True
schedule,8,unseen,0.8799014501187995,1,1,True
sharing,1,included,0.92989635070165,1,1,True
sharing,1,not_yet_included,0.8364433303450911,7,7,True
sharing,1,unseen,0.8789907440371897,1,1,True
sharing,2,included,0.9368899046689614,2,2,True
sharing,2,not_yet_included,0.8093508944885941,6,6,True
sharing,2,unseen,0.8778076685708146,1,1,True
sharing,3,included,,1,3,False
sharing,3,unseen,0.8805492144891586,1,1,True
sharing,4,included,,1,4,False
sharing,4,unseen,0.8876022577285767,1,1,True
sharing,5,included,,1,5,False
sharing,5,unseen,0.8433772315924197,1,1,True
sharing,6,included,,1,6,False
sharing,6,unseen,0.8760899024448175,1,1,True
sharing,7,unseen,0.8762285054415123,1,1,True
sharing,8,included,0.8455368773519307,8,8,True
sharing,8,unseen,0.8389478488900195,1,1,True
alignment,1,all_targets,0.8582438974088179,9,9,True
alignment,2,all_targets,0.858107587813113,9,9,True
alignment,8,all_targets,0.867261832168428,9,9,True
baseline,1,all_targets,0.8599404820384955,9,9,True
baseline,2,all_targets,0.8557688504038795,9,9,True
baseline,3,all_targets,0.8576261105513056,9,9,True
baseline,8,all_targets,0.8652359956830246,9,9,True
budget,1,all_targets,0.8518620884585959,9,9,True
budget,2,all_targets,0.85452448344322,9,9,True
budget,3,all_targets,0.8559025302396119,9,9,True
budget,8,all_targets,0.8640873169838088,9,9,True
capacity,1,all_targets,0.8549039614916153,9,9,True
capacity,2,all_targets,0.8593106512061177,9,9,True
capacity,8,all_targets,0.8652155285898601,9,9,True
centers,1,all_targets,0.8539395863830206,9,9,True
centers,2,all_targets,0.8568481529505012,9,9,True
centers,3,all_targets,0.8437479976188786,9,9,True
centers,8,all_targets,0.8613036384832204,9,9,True
composition,1,all_targets,0.8594009992872313,9,9,True
composition,2,all_targets,0.8524590755940094,9,9,True
composition,3,all_targets,0.8536405273171981,9,9,True
composition,8,all_targets,0.8666319401175888,9,9,True
context,1,all_targets,0.8487552234496193,9,9,True
context,2,all_targets,0.8475459380320358,9,9,True
context,3,all_targets,0.8438873175612507,9,9,True
context,8,all_targets,0.8488347489867326,9,9,True
coverage,1,all_targets,0.8543064055314923,9,9,True
coverage,2,all_targets,0.8535494738002695,9,9,True
coverage,8,all_targets,0.8631421328047683,9,9,True
eligibility,1,all_targets,0.8534440493675028,9,9,True
eligibility,2,all_targets,0.8517340109113838,9,9,True
eligibility,3,all_targets,0.852459992866102,9,9,True
eligibility,8,all_targets,0.8539260038014116,9,9,True
exposure,1,all_targets,0.8595089501195788,9,9,True
exposure,2,all_targets,0.8535743185234557,9,9,True
exposure,3,all_targets,0.8559511360841997,9,9,True
exposure,8,all_targets,0.8575251980759632,9,9,True
negatives,1,all_targets,0.8619029431507506,9,9,True
negatives,2,all_targets,0.8560007161564297,9,9,True
negatives,3,all_targets,0.8562380300171074,9,9,True
negatives,8,all_targets,0.8620116882092802,9,9,True
objective,1,all_targets,0.8580435185749108,9,9,True
objective,2,all_targets,0.8570417193769648,9,9,True
objective,8,all_targets,0.8674622072570626,9,9,True
optimization,1,all_targets,0.8596125870219897,9,9,True
optimization,2,all_targets,0.8511202063901518,9,9,True
optimization,8,all_targets,0.8634682962264137,9,9,True
positives,1,all_targets,0.8636734140787088,9,9,True
positives,2,all_targets,0.8595090517291317,9,9,True
positives,3,all_targets,0.8574444860029646,9,9,True
positives,8,all_targets,0.8648624421536238,9,9,True
region_adaptive,1,all_targets,0.857802249386545,9,9,True
region_adaptive,2,all_targets,0.8547175187260713,9,9,True
region_adaptive,3,all_targets,0.8458118490636881,9,9,True
region_adaptive,8,all_targets,0.8591158932652967,9,9,True
schedule,1,all_targets,0.8579459640258117,9,9,True
schedule,2,all_targets,0.8540879990253717,9,9,True
schedule,3,all_targets,0.8560109709871226,9,9,True
schedule,8,all_targets,0.8561565698487245,9,9,True
sharing,1,all_targets,0.851554489683831,9,9,True
sharing,2,all_targets,0.8452992049822557,9,9,True
sharing,8,all_targets,0.844804763078385,9,9,True
