protocol,model,objective,comparison,order,source_count,previous_source_count,added_sources,model_id,physical_model_id,reference_model_id,sources,target,target_seen,role,training_seed,checkpoint_step,stream,metric,value,reference_value,gain
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",ukr_rus_suspended,False,unseen,2,2500,original,roc_auc,0.477294921875,0.50250244140625,-0.02520751953125
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,2,1.0,covid,ordA_r2,ordA_r2,ss_ukr_rus,"covid,ukr_rus",ukr_rus_suspended,False,unseen,2,2500,original,accuracy,0.4921875,0.4765625,0.015625
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",covid_political,False,unseen,0,2500,original,roc_auc,0.9227461638274016,0.9424500641999422,-0.01970390037254055
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",covid_political,False,unseen,0,2500,original,accuracy,0.8805338541666666,0.8844401041666666,-0.00390625
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",covid_political,False,unseen,0,2500,original,roc_auc,0.9227461638274016,0.9464057639793114,-0.02365960015190982
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",covid_political,False,unseen,0,2500,original,accuracy,0.8805338541666666,0.8857421875,-0.00520833333333337
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",election2020,False,unseen,0,2500,original,roc_auc,0.9820556640625,0.98944091796875,-0.00738525390625
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",election2020,False,unseen,0,2500,original,accuracy,0.984375,0.984375,0.0
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",election2020,False,unseen,0,2500,original,roc_auc,0.9820556640625,0.98736572265625,-0.00531005859375
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",election2020,False,unseen,0,2500,original,accuracy,0.984375,0.984375,0.0
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",facebook_page_reference,False,unseen,0,2500,original,roc_auc,0.7487602233886719,0.7521286010742188,-0.003368377685546875
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",facebook_page_reference,False,unseen,0,2500,original,accuracy,0.6845703125,0.6728515625,0.01171875
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",facebook_page_reference,False,unseen,0,2500,original,roc_auc,0.7487602233886719,0.7720451354980469,-0.023284912109375
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",facebook_page_reference,False,unseen,0,2500,original,accuracy,0.6845703125,0.6923828125,-0.0078125
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",twibot20,False,unseen,0,2500,original,roc_auc,0.5982943640814888,0.5950018564860026,0.0032925075954862715
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",twibot20,False,unseen,0,2500,original,accuracy,0.57421875,0.5680338541666666,0.00618489583333337
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",twibot20,False,unseen,0,2500,original,roc_auc,0.5982943640814888,0.6355734931098089,-0.03727912902832009
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",twibot20,False,unseen,0,2500,original,accuracy,0.57421875,0.6048177083333334,-0.03059895833333337
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",ukr_rus_suspended,False,unseen,0,2500,original,roc_auc,0.44488525390625,0.51068115234375,-0.0657958984375
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",ukr_rus_suspended,False,unseen,0,2500,original,accuracy,0.46484375,0.5078125,-0.04296875
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",ukr_rus_suspended,False,unseen,0,2500,original,roc_auc,0.44488525390625,0.49755859375,-0.05267333984375
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",ukr_rus_suspended,False,unseen,0,2500,original,accuracy,0.46484375,0.47265625,-0.0078125
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",covid_political,False,unseen,1,2500,original,roc_auc,0.9314320882161458,0.92745519567419,0.003976892541955768
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",covid_political,False,unseen,1,2500,original,accuracy,0.8873697916666666,0.85546875,0.03190104166666663
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",covid_political,False,unseen,1,2500,original,roc_auc,0.9314320882161458,0.9311088279441552,0.0003232602719905886
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",covid_political,False,unseen,1,2500,original,accuracy,0.8873697916666666,0.8759765625,0.01139322916666663
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",election2020,False,unseen,1,2500,original,roc_auc,0.985107421875,0.986328125,-0.001220703125
prodigy_ladder,PRODIGY,neighbor_matching,adjacent_rung,A,3,2.0,midterm,ordA_r3,ordA_r3,ordA_r2,"covid,midterm,ukr_rus",election2020,False,unseen,1,2500,original,accuracy,0.984375,0.98046875,0.00390625
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",election2020,False,unseen,1,2500,original,roc_auc,0.985107421875,0.9853515625,-0.000244140625
prodigy_ladder,PRODIGY,neighbor_matching,versus_first_source,A,3,1.0,"covid,midterm",ordA_r3,ordA_r3,ss_ukr_rus,"covid,midterm,ukr_rus",election2020,False,unseen,1,2500,original,accuracy,0.984375,0.98046875,0.00390625
