protocol,model,objective,model_id,sources,source_count,target,target_canonical_name,target_seen,training_seed,checkpoint_step,budget_regime,stream,schedule,episode_fingerprint,roc_auc,accuracy,source_path
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r7,"covid,covid_political,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",7,covid_political,covid-political,True,0,2500,fixed_updates,original,native_mixture,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.9325541743525751,0.8723958333333334,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r7,"covid,covid_political,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",7,election2020,election2020-political,True,0,2500,fixed_updates,original,native_mixture,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.993408203125,0.98046875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r7,"covid,covid_political,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",7,facebook_page_reference,facebook-page-reference,False,0,2500,fixed_updates,original,native_mixture,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.7761688232421875,0.7041015625,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r7,"covid,covid_political,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",7,twibot20,twibot20,True,0,2500,fixed_updates,original,native_mixture,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6445257398817275,0.609375,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r7,"covid,covid_political,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",7,ukr_rus_suspended,ukraine-suspended,True,0,2500,fixed_updates,original,native_mixture,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4803466796875,0.4765625,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r8,"covid,covid_political,cp_hk,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",8,covid_political,covid-political,True,0,2500,fixed_updates,original,native_mixture,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.9289030852141203,0.8701171875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r8,"covid,covid_political,cp_hk,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",8,election2020,election2020-political,True,0,2500,fixed_updates,original,native_mixture,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.98931884765625,0.98046875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r8,"covid,covid_political,cp_hk,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",8,facebook_page_reference,facebook-page-reference,False,0,2500,fixed_updates,original,native_mixture,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.7462615966796875,0.6767578125,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r8,"covid,covid_political,cp_hk,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",8,twibot20,twibot20,True,0,2500,fixed_updates,original,native_mixture,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6213552686903212,0.5888671875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
prodigy_ladder,PRODIGY,neighbor_matching,ordA_r8,"covid,covid_political,cp_hk,election2020,midterm,twibot20,ukr_rus,ukr_rus_suspended",8,ukr_rus_suspended,ukraine-suspended,True,0,2500,fixed_updates,original,native_mixture,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.45001220703125,0.44921875,scripts/experiments/analysis/transfer/matrices/cross_model/final_core/data/classification_ladder/classification_long.tsv
