pair,target,model,auc,ap,bce,positive_bce,negative_bce,calibrated_bce,balanced_accuracy,baseline,baseline_auc,test_best_single,cosine_auc
COVID political + suspended,covid19_twitter,A,0.8400895408163265,0.5848659329593519,0.45649251751840664,2.0856096006414515,0.13066910089379763,0.3330132968702291,0.7742142857142857,B,0.8968438775510205,0.8968438775510205,0.8002544387755102
COVID political + suspended,covid19_twitter,B,0.8968438775510205,0.7022939160532969,0.3453401370687186,1.8436087443034583,0.04568641562177063,0.27400656602823664,0.8205,B,0.8968438775510205,0.8968438775510205,0.8835654081632653
COVID political + suspended,covid19_twitter,A→B,0.9104208163265306,0.749223518879823,0.3159881962254756,1.6719788502250634,0.04479006542555798,0.25435202574750615,0.8402142857142858,B,0.8968438775510205,0.8968438775510205,0.8775278571428572
COVID political + suspended,covid19_twitter,B→A,0.9171976020408164,0.7560263124404738,0.27381323442399697,1.0277988255350987,0.12301611620177662,0.2475339042735944,0.8532142857142857,B,0.8968438775510205,0.8968438775510205,0.8811930612244898
COVID political + suspended,covid19_twitter,Interleaved,0.9215517346938775,0.7698360942419776,0.25803906089225265,1.16143035621981,0.07736080182674118,0.2410683014442177,0.8577857142857144,B,0.8968438775510205,0.8968438775510205,0.8951264285714284
COVID political + suspended,covid19_twitter,Ensemble,0.9120751020408163,,0.26620753290715843,,,0.26620753290715843,0.8389285714285715,B,0.8968438775510205,,
COVID political + suspended,midterm,A,0.8401097959183674,0.6524541814102618,0.44352919368723354,2.1770154467450653,0.09683194307566721,0.3138028548096043,0.7812142857142857,B,0.8319240816326532,0.8401097959183674,0.7969997959183673
COVID political + suspended,midterm,B,0.8319240816326532,0.5796255698918729,0.4198543070960417,2.122417898275549,0.07934158886014023,0.3341551464683917,0.7615000000000001,B,0.8319240816326532,0.8401097959183674,0.7998437755102041
COVID political + suspended,midterm,A→B,0.8730833673469387,0.6614307737186959,0.3605076006344394,1.7961625265174708,0.07337661545783307,0.29934967238334015,0.7997142857142857,B,0.8319240816326532,0.8401097959183674,0.8200455612244899
COVID political + suspended,midterm,B→A,0.9018423469387755,0.7486111127204949,0.30170686039850414,1.3023753590680125,0.10157316066460247,0.26205460644395706,0.8365714285714285,B,0.8319240816326532,0.8401097959183674,0.8481811224489797
COVID political + suspended,midterm,Interleaved,0.9047533673469388,0.7254120950294347,0.308696024278222,1.4461778525516118,0.08119965862354402,0.2711788310398541,0.8341428571428571,B,0.8319240816326532,0.8401097959183674,0.859426836734694
COVID political + suspended,midterm,Ensemble,0.8762884183673469,,0.29614555280891225,,,0.29614555280891225,0.8028571428571428,B,0.8319240816326532,,
COVID political + suspended,twibot20,A,0.8575233673469388,0.6138112051025416,0.42513718153298646,1.55007547465953,0.20014952290767768,0.31857390496480165,0.7787857142857143,B,0.8515476020408164,0.8575233673469388,0.8333489795918366
COVID political + suspended,twibot20,B,0.8515476020408164,0.5730313718930624,0.3673117335048119,1.6919271144951549,0.10238865730674326,0.3258436711409212,0.7812857142857144,B,0.8515476020408164,0.8575233673469388,0.8550671428571428
COVID political + suspended,twibot20,A→B,0.8716794897959185,0.6423054693145909,0.3294098019818317,1.4636559439087757,0.10256057359644287,0.3016616691777916,0.7905,B,0.8515476020408164,0.8575233673469388,0.8586519387755102
COVID political + suspended,twibot20,B→A,0.8950564285714285,0.6744904787086039,0.3740468861519894,0.7061644104575706,0.30762338129087313,0.28241447759148114,0.823,B,0.8515476020408164,0.8575233673469388,0.8760652040816327
COVID political + suspended,twibot20,Interleaved,0.8937598469387755,0.6781569823499779,0.3180385918793953,0.8948376685697752,0.20267877654131938,0.28726431755414056,0.8236428571428571,B,0.8515476020408164,0.8575233673469388,0.8804822448979591
COVID political + suspended,twibot20,Ensemble,0.8927026530612245,,0.28993262660674407,,,0.28993262660674407,0.8157857142857143,B,0.8515476020408164,,
