seed,phase,comparison,baseline,target,delta_auc_pp
2,replication,fixed_vs_ukraine_singleton,singleton_ukraine,cp_hk_twitter,0.0021122448979782327
2,replication,fixed_vs_ukraine_singleton,singleton_ukraine,midterm,0.34191836734696057
2,replication,fixed_vs_ukraine_singleton,singleton_ukraine,twibot20,0.4285816326530578
2,replication,fixed_vs_ukraine_singleton,singleton_ukraine,ukr_rus_suspended,-0.3053469387755192
2,replication,fixed_vs_facebook_singleton,singleton_facebook,covid19_twitter,5.134459183673479
2,replication,fixed_vs_facebook_singleton,singleton_facebook,covid_political,8.87592857142856
2,replication,fixed_vs_facebook_singleton,singleton_facebook,cp_hk_twitter,8.969326530612243
2,replication,fixed_vs_facebook_singleton,singleton_facebook,midterm,11.15897959183676
2,replication,fixed_vs_facebook_singleton,singleton_facebook,twibot20,8.132673469387763
2,replication,fixed_vs_facebook_singleton,singleton_facebook,ukr_rus_suspended,6.265653061224485
2,replication,fixed_vs_weight_one,kd_w100_fixed,covid19_twitter,-0.012479591836744852
2,replication,fixed_vs_weight_one,kd_w100_fixed,covid_political,-0.08276530612247868
2,replication,fixed_vs_weight_one,kd_w100_fixed,cp_hk_twitter,0.29443877551019737
2,replication,fixed_vs_weight_one,kd_w100_fixed,midterm,0.2115255102041136
2,replication,fixed_vs_weight_one,kd_w100_fixed,twibot20,0.3140204081632736
2,replication,fixed_vs_weight_one,kd_w100_fixed,ukr_rus_suspended,-0.024698979591841752
