batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,5,49,43148,91,93,0.12195121951219512,True,True
0,5,50,57782,30,30,0.07142857142857142,True,True
0,5,51,73347,10,10,0.1111111111111111,True,True
0,5,52,65691,10,9,0.9,True,True
0,5,53,23457,14,14,0.21739130434782608,True,True
0,5,54,69428,0,0,1.0,False,False
0,5,55,71409,0,0,1.0,False,False
0,5,56,11324,23,23,0.1794871794871795,True,True
0,5,57,78281,0,0,1.0,False,False
0,5,58,23252,29,30,0.05357142857142857,True,True
0,5,59,9995,83,82,0.1,True,True
0,5,60,43784,10,10,0.05263157894736842,True,True
0,5,61,11407,10,10,0.05263157894736842,True,True
0,5,62,37828,0,0,1.0,False,False
0,5,63,41211,90,89,0.0718562874251497,True,True
0,5,64,54542,20,20,0.05263157894736842,True,True
0,5,65,35705,0,0,1.0,False,False
0,5,66,70419,20,20,0.1111111111111111,True,True
0,5,67,21813,20,20,0.1111111111111111,True,True
0,5,68,728,59,54,0.13,True,True
0,5,69,4171,12,12,0.14285714285714285,True,True
0,5,70,64331,20,20,0.05263157894736842,True,True
0,5,71,59516,0,0,1.0,False,False
0,5,72,506,46,54,0.14942528735632185,True,True
0,5,73,28897,10,10,0.05263157894736842,True,True
0,5,74,30688,10,10,0.05263157894736842,True,True
0,5,75,34505,10,9,0.35714285714285715,True,True
0,5,76,35259,10,10,0.42857142857142855,True,True
0,5,77,31487,59,59,0.07272727272727272,True,True
0,5,78,60995,0,0,1.0,False,False
0,5,79,9412,0,0,1.0,False,False
0,6,0,4334,0,0,1.0,False,False
0,6,1,62981,0,0,1.0,False,False
0,6,2,934,68,67,0.2980769230769231,True,True
0,6,3,66842,0,0,1.0,False,False
0,6,4,59978,9,10,0.26666666666666666,True,True
0,6,5,74026,0,0,1.0,False,False
0,6,6,34373,10,10,0.05263157894736842,True,True
0,6,7,42771,0,0,1.0,False,False
0,6,8,10264,0,0,1.0,False,False
0,6,9,75816,0,0,1.0,False,False
0,6,10,39173,40,40,0.05263157894736842,True,True
0,6,11,26796,10,10,0.05263157894736842,True,True
0,6,12,52526,0,0,1.0,False,False
0,6,13,12852,29,28,0.46153846153846156,True,True
0,6,14,16487,94,91,0.08823529411764706,True,True
0,6,15,77104,20,19,0.21875,True,True
0,6,16,14243,10,10,0.05263157894736842,True,True
0,6,17,34285,0,0,1.0,False,False
0,6,18,3300,10,10,0.05263157894736842,True,True
0,6,19,9914,91,94,0.06936416184971098,True,True
0,6,20,39412,0,0,1.0,False,False
0,6,21,72470,10,10,0.05263157894736842,True,True
0,6,22,60115,0,0,1.0,False,False
0,6,23,4982,14,12,0.3,True,True
0,6,24,78223,60,60,0.061946902654867256,True,True
0,6,25,23702,0,0,1.0,False,False
0,6,26,35973,20,20,0.05263157894736842,True,True
0,6,27,3424,50,53,0.3037974683544304,True,True
0,6,28,52148,10,10,0.05263157894736842,True,True
0,6,29,12502,0,0,1.0,False,False
0,6,30,13749,23,23,0.1794871794871795,True,True
0,6,31,67376,20,20,0.05263157894736842,True,True
0,6,32,74180,60,60,0.05263157894736842,True,True
0,6,33,34881,0,0,1.0,False,False
0,6,34,9642,70,69,0.13008130081300814,True,True
0,6,35,54899,0,0,1.0,False,False
0,6,36,4068,0,0,1.0,False,False
0,6,37,71751,30,30,0.05263157894736842,True,True
0,6,38,7916,30,30,0.05263157894736842,True,True
0,6,39,17250,20,20,0.05263157894736842,True,True
0,6,40,42828,0,0,1.0,False,False
0,6,41,44234,0,0,1.0,False,False
0,6,42,42873,0,0,1.0,False,False
0,6,43,24396,0,0,1.0,False,False
0,6,44,76779,17,17,0.3076923076923077,True,True
0,6,45,8116,20,20,0.05263157894736842,True,True
0,6,46,40729,0,0,1.0,False,False
0,6,47,39247,30,30,0.09090909090909091,True,True
0,6,48,24695,0,0,1.0,False,False
0,6,49,43148,91,92,0.08928571428571429,True,True
0,6,50,57782,30,30,0.05263157894736842,True,True
0,6,51,73347,10,10,0.1111111111111111,True,True
0,6,52,65691,10,9,0.9,True,True
0,6,53,23457,14,14,0.21739130434782608,True,True
0,6,54,69428,0,0,1.0,False,False
0,6,55,71409,0,0,1.0,False,False
0,6,56,11324,23,23,0.21052631578947367,True,True
0,6,57,78281,0,0,1.0,False,False
0,6,58,23252,29,30,0.11320754716981132,True,True
0,6,59,9995,83,83,0.09933774834437085,True,True
0,6,60,43784,10,10,0.05263157894736842,True,True
0,6,61,11407,10,10,0.05263157894736842,True,True
0,6,62,37828,0,0,1.0,False,False
0,6,63,41211,90,90,0.05263157894736842,True,True
0,6,64,54542,20,20,0.05263157894736842,True,True
0,6,65,35705,0,0,1.0,False,False
0,6,66,70419,20,20,0.05263157894736842,True,True
0,6,67,21813,20,20,0.05263157894736842,True,True
0,6,68,728,59,52,0.15625,True,True
0,6,69,4171,12,12,0.14285714285714285,True,True
0,6,70,64331,20,19,0.05405405405405406,True,True
0,6,71,59516,0,0,1.0,False,False
0,6,72,506,46,33,0.1791044776119403,True,True
0,6,73,28897,10,10,0.05263157894736842,True,True
0,6,74,30688,10,10,0.05263157894736842,True,True
0,6,75,34505,10,10,0.42857142857142855,True,True
0,6,76,35259,10,10,0.3333333333333333,True,True
0,6,77,31487,59,59,0.102803738317757,True,True
0,6,78,60995,0,0,1.0,False,False
0,6,79,9412,0,0,1.0,False,False
0,7,0,4334,0,0,1.0,False,False
0,7,1,62981,0,0,1.0,False,False
0,7,2,934,68,57,0.34408602150537637,True,True
0,7,3,66842,0,0,1.0,False,False
0,7,4,59978,9,10,0.05555555555555555,True,True
0,7,5,74026,0,0,1.0,False,False
0,7,6,34373,10,10,0.05263157894736842,True,True
0,7,7,42771,0,0,1.0,False,False
0,7,8,10264,0,0,1.0,False,False
0,7,9,75816,0,0,1.0,False,False
0,7,10,39173,40,40,0.08108108108108109,True,True
0,7,11,26796,10,10,0.05263157894736842,True,True
0,7,12,52526,0,0,1.0,False,False
0,7,13,12852,29,28,0.5,True,True
0,7,14,16487,94,91,0.06936416184971098,True,True
0,7,15,77104,20,20,0.14285714285714285,True,True
0,7,16,14243,10,10,0.05263157894736842,True,True
0,7,17,34285,0,0,1.0,False,False
0,7,18,3300,10,10,0.05263157894736842,True,True
0,7,19,9914,91,94,0.09467455621301775,True,True
0,7,20,39412,0,0,1.0,False,False
0,7,21,72470,10,10,0.05263157894736842,True,True
0,7,22,60115,0,0,1.0,False,False
0,7,23,4982,14,14,0.3333333333333333,True,True
0,7,24,78223,60,60,0.061946902654867256,True,True
0,7,25,23702,0,0,1.0,False,False
0,7,26,35973,20,20,0.1111111111111111,True,True
