entry_rung,target,order,rung,added,sources,mixture_auc,best_constituent,best_constituent_auc,mixture_minus_best_constituent_auc
7,ukr_rus_twitter,C,4,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,0.8250104927522349,ukr_rus_suspended,0.7695,0.05551049275223496
7,ukr_rus_twitter,C,5,midterm,election2020 covid_political cp_hk ukr_rus_suspended midterm,0.8651577229885058,midterm,0.797,0.06815772298850575
7,ukr_rus_twitter,C,6,twibot20,election2020 covid_political cp_hk ukr_rus_suspended midterm twibot20,0.8894939903256703,twibot20,0.8688,0.02069399032567032
6,ukr_rus_suspended,A,1,ukr_rus,ukr_rus,0.771,ukr_rus_twitter,0.7894,0.0
6,ukr_rus_suspended,A,2,covid,ukr_rus covid,0.775,ukr_rus_twitter,0.7894,-0.014399999999999968
6,ukr_rus_suspended,A,3,midterm,ukr_rus covid midterm,0.777,ukr_rus_twitter,0.7894,-0.012399999999999967
6,ukr_rus_suspended,A,4,covid_political,ukr_rus covid midterm covid_political,0.7768,ukr_rus_twitter,0.7894,-0.012599999999999945
6,ukr_rus_suspended,A,5,election2020,ukr_rus covid midterm covid_political election2020,0.7693,ukr_rus_twitter,0.7894,-0.020100000000000007
6,cp_hk_twitter,B,1,covid,covid,0.7196,covid19_twitter,0.7196,0.0
6,cp_hk_twitter,B,2,ukr_rus,covid ukr_rus,0.726,covid19_twitter,0.7196,0.006399999999999961
6,cp_hk_twitter,B,3,twibot20,covid ukr_rus twibot20,0.7316832084770114,covid19_twitter,0.7196,0.012083208477011387
6,cp_hk_twitter,B,4,midterm,covid ukr_rus twibot20 midterm,0.720369180172414,covid19_twitter,0.7196,0.0007691801724140079
6,cp_hk_twitter,B,5,ukr_rus_suspended,covid ukr_rus twibot20 midterm ukr_rus_suspended,0.7183858511494251,covid19_twitter,0.7196,-0.0012141488505749143
6,twibot20,C,1,election2020,election2020,0.7096,election2020,0.7096,0.0
6,twibot20,C,2,covid_political,election2020 covid_political,0.7747346551564493,covid_political,0.7374,0.03733465515644929
6,twibot20,C,3,cp_hk,election2020 covid_political cp_hk,0.8181850680555556,cp_hk_twitter,0.7378,0.08038506805555556
6,twibot20,C,4,ukr_rus_suspended,election2020 covid_political cp_hk ukr_rus_suspended,0.8540511916028097,ukr_rus_suspended,0.7647,0.08935119160280969
