arm,seed,checkpoint_step,auc,f1_macro,accuracy,sources,target_split_hash,result_path
mixture_k3,2,1500,0.6997172197861353,0.6552586277161238,0.6661036036036037,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s2_step_1500.json
mixture_k3,2,2500,0.6988275092086651,0.652847437593812,0.6632882882882883,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s2_step_2500.json
mixture_k3,2,2750,0.6979069638963799,0.6516030200240727,0.6638513513513513,covid_political|ukr_rus_suspended|election2020,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k3_s2_step_2750.json
mixture_k6,0,100,0.7111485553284349,0.6527218207210346,0.6672297297297297,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s0_step_100.json
mixture_k6,0,300,0.7113342061276327,0.659103545047788,0.6734234234234234,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s0_step_300.json
mixture_k6,0,600,0.7001238528515064,0.641183102023128,0.6582207207207207,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s0_step_600.json
mixture_k6,0,900,0.6977046109491574,0.6431130272931318,0.661036036036036,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s0_step_900.json
mixture_k6,0,1500,0.7047734739054633,0.650278962914342,0.6672297297297297,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s0_step_1500.json
mixture_k6,0,2500,0.7062175673192923,0.6486856427154934,0.6638513513513513,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s0_step_2500.json
mixture_k6,0,3000,0.7057756027869462,0.6495179013793151,0.6649774774774775,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s0_step_3000.json
mixture_k6,1,100,0.696556017077304,0.6417122425347754,0.651463963963964,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s1_step_100.json
mixture_k6,1,300,0.6960697276136614,0.6449090345000796,0.6570945945945946,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s1_step_300.json
mixture_k6,1,600,0.6884304220632806,0.6379444547404093,0.6531531531531531,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s1_step_600.json
mixture_k6,1,900,0.6851812118821651,0.6332832028866625,0.6503378378378378,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s1_step_900.json
mixture_k6,1,1500,0.6832823061298169,0.6259127504212694,0.6452702702702703,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s1_step_1500.json
mixture_k6,1,2500,0.6759699772465353,0.6270755333689904,0.6418918918918919,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s1_step_2500.json
mixture_k6,1,4500,0.6780911500456739,0.6230918432313182,0.6368243243243243,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s1_step_4500.json
mixture_k6,2,100,0.6960517406850194,0.6486453555327587,0.6599099099099099,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s2_step_100.json
mixture_k6,2,300,0.6940924502436587,0.6464850877483992,0.6621621621621622,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s2_step_300.json
mixture_k6,2,600,0.6941040132692142,0.6420498084291189,0.6587837837837838,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s2_step_600.json
mixture_k6,2,900,0.6878766816172306,0.6450026712022591,0.6593468468468469,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s2_step_900.json
mixture_k6,2,1500,0.6920676359908163,0.651034575224287,0.6649774774774775,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s2_step_1500.json
mixture_k6,2,2500,0.6924716994949528,0.6416506310286376,0.6559684684684685,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s2_step_2500.json
mixture_k6,2,3500,0.6958969246206363,0.6461679942051854,0.6599099099099099,covid_political|ukr_rus_suspended|election2020|facebook_page_reference|cora|pubmed,ce874096d3960a5ec9653bdd6f82b68ab793865980d6dc730588a9f78796b0e1,/dataMeR1/phil/gfm/mixture-scaling/results/twibot_saturation/raw/mixture_k6_s2_step_3500.json
